Time,area_km2,elevation_m,changed_storage_mcm
2017-01-31,2.67,37.7,10.94
2017-02-28,2.67,37.7,10.94
2017-03-31,2.93,38.2,12.34
2017-04-30,2.79,37.9,11.55
2017-05-31,2.85,38.0,11.89
2017-06-30,2.62,37.6,10.66
2017-07-31,3.87,40.0,18.58
2017-08-31,3.84,40.0,18.36
2017-09-30,2.99,38.3,12.76
2017-10-31,2.66,37.7,10.88
2017-11-30,2.88,38.1,12.06
2017-12-31,2.81,38.0,11.65
2018-01-31,2.74,37.8,11.29
2018-02-28,2.67,37.7,10.93
2018-03-31,3.45,39.2,15.69
2018-04-30,2.58,37.5,10.45
2018-05-31,3.78,39.9,18.01
2018-06-30,2.71,37.8,11.13
2018-07-31,3.48,39.3,15.92
2018-08-31,4.33,40.9,22.22
2018-09-30,3.09,38.5,13.37
2018-10-31,4.39,41.1,22.81
2018-11-30,4.19,40.7,21.12
2018-12-31,3.98,40.3,19.5
2019-01-31,4.45,41.2,23.42
2019-02-28,4.73,41.9,26.53
2019-03-31,5.24,43.2,33.05
2019-04-30,5.01,42.6,29.84
2019-05-31,5.05,42.7,30.39
2019-06-30,5.54,44.1,37.98
2019-07-31,5.33,43.4,34.47
2019-08-31,5.15,42.9,31.66
2019-09-30,5.55,44.1,38.19
2019-10-31,5.5,44.0,37.32
2019-11-30,5.64,44.5,39.99
2019-12-31,5.45,43.8,36.51
2020-01-31,5.34,43.5,34.7
2020-02-29,5.06,42.7,30.46
2020-03-31,5.61,44.4,39.49
2020-04-30,4.82,42.1,27.48
2020-05-31,5.86,45.3,44.64
2020-06-30,5.59,44.3,39.14
2020-07-31,5.0,42.5,29.79
2020-08-31,5.31,43.4,34.09
2020-09-30,5.64,44.5,40.07
2020-10-31,4.94,42.4,29.03
2020-11-30,5.7,44.7,41.18
2020-12-31,5.36,43.5,35.01
2021-01-31,5.69,44.6,40.93
2021-02-28,4.98,42.5,29.51
2021-03-31,5.21,43.1,32.55
2021-04-30,5.4,43.7,35.71
2021-05-31,5.65,44.5,40.17
2021-06-30,5.38,43.6,35.25
2021-07-31,5.77,44.9,42.56
2021-08-31,5.32,43.4,34.32
2021-09-30,5.05,42.7,30.41
2021-10-31,5.43,43.8,36.09
2021-11-30,5.25,43.2,33.09
2021-12-31,5.53,44.1,37.83
2022-01-31,3.38,39.1,15.23
2022-02-28,3.12,38.6,13.59
2022-03-31,4.31,40.9,22.07
2022-04-30,5.32,43.4,34.37
2022-05-31,5.43,43.8,36.16
2022-06-30,5.18,43.0,31.99
2022-07-31,5.68,44.6,40.83
2022-08-31,5.9,45.4,45.52
2022-09-30,6.05,46.0,49.07
2022-10-31,5.27,43.3,33.43
2022-11-30,5.37,43.6,35.2
2022-12-31,5.57,44.2,38.61
2023-01-31,5.54,44.1,38.01
2023-02-28,5.34,43.5,34.67
2023-03-31,6.04,46.0,48.77
2023-04-30,5.73,44.8,41.89
2023-05-31,5.32,43.4,34.29
2023-06-30,5.43,43.7,36.08
2023-07-31,5.37,43.6,35.12
2023-08-31,5.96,45.6,46.89
2023-09-30,5.55,44.1,38.18
2023-10-31,5.82,45.1,43.63
2023-11-30,5.37,43.6,35.08
2023-12-31,6.69,47.6,59.36
2024-01-31,5.2,43.1,32.37
2024-02-29,4.51,41.3,24.08
2024-03-31,3.7,39.7,17.43
2024-04-30,5.64,44.5,40.05
2024-05-31,3.86,40.0,18.53
2024-06-30,3.25,38.9,14.41
2024-07-31,5.85,45.2,44.46
2024-08-31,5.94,45.6,46.46
2024-09-30,6.03,45.9,48.67
2024-10-31,6.01,45.9,48.11
2024-11-30,5.64,44.5,39.99
2024-12-31,3.84,40.0,18.36
2025-01-31,5.56,44.2,38.56
2025-02-28,5.54,44.1,38.05
2025-03-31,5.51,44.0,37.53
2025-04-30,5.26,43.2,33.3
2025-05-31,5.24,43.2,33.03
