Time,area_km2,elevation_m,changed_storage_mcm
2008-01-31,5.22,59.2,71.47
2008-02-29,5.22,59.2,71.47
2008-03-31,5.22,59.2,71.47
2008-04-30,2.68,47.3,25.11
2008-05-31,2.65,47.2,24.67
2008-06-30,5.81,61.7,85.49
2008-07-31,2.88,48.4,28.13
2008-08-31,2.91,48.6,28.57
2008-09-30,4.71,56.9,60.26
2008-10-31,5.93,62.2,88.09
2008-11-30,7.14,66.6,116.87
2008-12-31,8.36,71.0,150.97
2009-01-31,9.58,75.2,188.73
2009-02-28,10.52,78.4,221.11
2009-03-31,11.63,82.1,262.62
2009-04-30,3.27,50.3,33.91
2009-05-31,11.14,80.5,243.91
2009-06-30,9.31,74.2,179.7
2009-07-31,5.72,61.3,83.27
2009-08-31,7.77,68.9,133.87
2009-09-30,11.23,80.8,247.13
2009-10-31,10.33,77.8,214.71
2009-11-30,8.25,70.6,147.83
2009-12-31,9.73,75.7,193.97
2010-01-31,7.08,66.3,115.06
2010-02-28,12.89,86.6,317.48
2010-03-31,11.08,80.3,241.81
2010-04-30,8.4,71.1,151.9
2010-05-31,5.71,61.3,83.1
2010-06-30,6.66,64.9,105.36
2010-07-31,7.61,68.3,129.5
2010-08-31,10.35,77.8,215.24
2010-09-30,7.98,69.7,140.2
2010-10-31,8.51,71.4,154.95
2010-11-30,9.03,73.2,170.01
2010-12-31,9.56,75.1,187.98
2011-01-31,10.08,76.9,205.92
2011-02-28,10.6,78.7,224.09
2011-03-31,7.3,67.1,121.01
2011-04-30,3.99,53.6,45.8
2011-05-31,7.17,66.7,117.68
2011-06-30,6.6,64.7,103.81
2011-07-31,6.9,65.7,110.71
2011-08-31,5.05,58.4,67.62
2011-09-30,3.2,50.0,32.9
2011-10-31,6.92,65.7,111.08
2011-11-30,7.37,67.4,122.92
2011-12-31,7.81,69.0,134.92
2012-01-31,8.26,70.6,148.26
2012-02-29,8.71,72.1,160.54
2012-03-31,9.0,73.1,169.02
2012-04-30,9.29,74.1,179.0
2012-05-31,4.16,54.4,49.08
2012-06-30,4.86,57.6,63.53
2012-07-31,5.57,60.7,79.7
2012-08-31,6.27,63.4,95.87
2012-09-30,6.97,65.9,112.27
2012-10-31,7.55,68.1,128.01
2012-11-30,5.42,60.0,76.01
2012-12-31,6.85,65.5,109.63
2013-01-31,8.28,70.7,148.81
2013-02-28,4.07,53.9,47.16
2013-03-31,9.22,73.9,176.34
2013-04-30,8.25,70.6,147.79
2013-05-31,7.42,67.6,124.34
2013-06-30,7.27,67.0,120.32
2013-07-31,7.61,68.3,129.5
2013-08-31,8.65,71.9,158.68
2013-09-30,9.69,75.6,192.39
2013-10-31,10.73,79.1,228.45
2013-11-30,11.42,81.4,254.12
2013-12-31,12.11,83.8,281.95
2014-01-31,12.81,86.3,313.18
2014-02-28,13.5,89.4,353.74
2014-03-31,11.14,80.5,243.83
2014-04-30,10.59,78.6,223.58
2014-05-31,7.84,69.1,135.55
2014-06-30,6.2,63.2,94.23
2014-07-31,4.56,56.3,57.39
2014-08-31,5.65,61.0,81.62
2014-09-30,6.32,63.6,97.09
2014-10-31,6.7,65.1,106.42
2014-11-30,7.77,68.9,133.89
2014-12-31,5.87,62.0,86.86
2015-01-31,12.0,83.4,277.06
2015-02-28,12.08,83.7,280.54
2015-03-31,12.22,84.1,286.31
2015-04-30,11.1,80.4,242.6
2015-05-31,8.19,70.4,146.16
2015-06-30,7.89,69.3,137.15
2015-07-31,6.08,62.7,91.57
2015-08-31,5.51,60.4,78.24
2015-09-30,5.96,62.3,88.72
2015-10-31,6.77,65.3,107.95
2015-11-30,7.58,68.2,128.72
2015-12-31,7.57,68.2,128.54
2016-01-31,8.46,71.3,153.7
2016-02-29,9.35,74.4,181.09
2016-03-31,10.25,77.5,211.74
2016-04-30,11.26,80.9,247.92
2016-05-31,10.46,78.2,218.99
2016-06-30,8.95,72.9,167.29
2016-07-31,7.9,69.3,137.44
2016-08-31,7.43,67.7,124.77
2016-09-30,6.07,62.7,91.18
2016-10-31,9.69,75.6,192.41
2016-11-30,2.0,43.3,15.66
2016-12-31,6.9,65.7,110.83
2017-01-31,11.81,82.7,269.46
2017-02-28,11.96,83.2,275.24
2017-03-31,10.99,80.0,238.83
2017-04-30,12.94,86.8,319.65
2017-05-31,12.63,85.6,304.37
2017-06-30,12.4,84.8,294.17
2017-07-31,12.45,84.9,296.09
2017-08-31,12.05,83.5,279.27
2017-09-30,11.19,80.7,245.67
2017-10-31,6.85,65.5,109.65
2017-11-30,9.05,73.2,170.68
2017-12-31,11.25,80.8,247.73
2018-01-31,9.49,74.9,185.81
2018-02-28,11.0,80.1,239.16
2018-03-31,8.0,69.7,140.6
2018-04-30,8.19,70.4,146.09
2018-05-31,9.2,73.8,175.92
2018-06-30,8.09,70.0,143.36
2018-07-31,7.53,68.0,127.39
2018-08-31,6.76,65.3,107.7
2018-09-30,5.76,61.5,84.16
2018-10-31,6.44,64.1,99.89
2018-11-30,4.84,57.5,62.94
2018-12-31,7.82,69.0,135.2
2019-01-31,13.05,87.3,326.01
2019-02-28,13.7,90.2,365.59
2019-03-31,14.11,91.9,388.18
2019-04-30,13.13,87.6,330.91
2019-05-31,11.43,81.4,254.34
2019-06-30,9.31,74.2,179.7
2019-07-31,7.8,69.0,134.67
2019-08-31,10.86,79.6,233.69
2019-09-30,8.91,72.7,166.22
2019-10-31,6.37,63.8,98.4
2019-11-30,12.13,83.8,282.43
2019-12-31,7.69,68.6,131.76
2020-01-31,10.07,76.9,205.45
2020-02-29,10.38,78.0,216.55
2020-03-31,10.69,79.0,227.01
2020-04-30,11.33,81.1,250.6
2020-05-31,9.85,76.1,198.03
2020-06-30,9.38,74.5,181.94
2020-07-31,8.72,72.1,160.87
2020-08-31,7.74,68.7,132.88
2020-09-30,6.9,65.7,110.82
2020-10-31,5.86,61.9,86.49
2020-11-30,10.17,77.2,209.2
2020-12-31,9.61,75.3,189.91
2021-01-31,13.62,89.8,360.29
2021-02-28,14.24,92.3,394.52
2021-03-31,14.59,93.5,412.28
2021-04-30,11.79,82.7,268.77
2021-05-31,9.96,76.5,201.9
2021-06-30,8.93,72.8,166.92
2021-07-31,8.1,70.1,143.77
2021-08-31,7.26,67.0,119.98
2021-09-30,7.63,68.3,130.0
2021-10-31,8.42,71.2,152.62
2021-11-30,13.73,90.3,367.18
2021-12-31,13.68,90.1,363.9
2022-01-31,13.63,89.9,360.88
2022-02-28,8.75,72.2,161.72
2022-03-31,12.14,83.9,282.91
2022-04-30,13.88,91.0,376.78
2022-05-31,10.67,78.9,226.5
2022-06-30,11.61,82.1,261.62
2022-07-31,9.44,74.7,184.03
2022-08-31,8.11,70.1,144.06
2022-09-30,6.81,65.4,108.82
2022-10-31,9.44,74.7,184.04
2022-11-30,12.05,83.5,279.1
2022-12-31,13.08,87.4,327.99
2023-01-31,14.12,91.9,388.66
2023-02-28,10.72,79.1,228.17
2023-03-31,14.12,91.9,389.0
2023-04-30,12.91,86.7,318.57
2023-05-31,11.12,80.4,243.23
2023-06-30,9.43,74.6,183.68
2023-07-31,8.77,72.3,162.17
2023-08-31,8.62,71.8,157.96
2023-09-30,6.75,65.2,107.42
2023-10-31,7.76,68.8,133.43
2023-11-30,6.45,64.1,100.12
2023-12-31,11.89,83.0,272.49
2024-01-31,13.33,88.6,343.26
2024-02-29,13.35,88.7,344.72
2024-03-31,13.8,90.7,372.16
2024-04-30,13.91,91.2,378.43
2024-05-31,10.57,78.6,222.9
2024-06-30,11.29,81.0,249.12
2024-07-31,9.37,74.4,181.74
2024-08-31,8.47,71.3,153.87
2024-09-30,6.69,65.0,106.15
2024-10-31,9.24,73.9,177.14
2024-11-30,10.85,79.5,233.25
2024-12-31,6.98,66.0,112.56
2025-01-31,12.97,86.9,321.13
2025-02-28,6.02,62.5,90.08
2025-03-31,10.97,80.0,238.0
2025-04-30,13.97,91.4,381.48
2025-05-31,14.02,91.5,383.69
