Time,area_km2,elevation_m,changed_storage_mcm
2017-01-31,33.11,134.7,419.76
2017-02-28,35.98,136.8,491.34
2017-03-31,36.78,137.4,513.52
2017-04-30,37.36,137.9,530.15
2017-05-31,34.22,135.5,446.55
2017-06-30,26.74,130.3,288.36
2017-07-31,26.89,130.5,291.5
2017-08-31,27.05,130.6,294.63
2017-09-30,27.21,130.7,297.76
2017-10-31,28.24,131.4,317.1
2017-11-30,37.37,137.9,530.41
2017-12-31,39.31,139.5,592.45
2018-01-31,38.31,138.6,559.11
2018-02-28,39.66,139.8,604.81
2018-03-31,39.92,140.0,613.94
2018-04-30,38.62,138.9,568.5
2018-05-31,38.68,138.9,570.35
2018-06-30,37.22,137.8,526.08
2018-07-31,35.75,136.6,485.22
2018-08-31,34.29,135.6,448.08
2018-09-30,32.82,134.5,413.01
2018-10-31,37.75,138.2,541.78
2018-11-30,38.55,138.8,566.47
2018-12-31,43.87,144.2,789.6
2019-01-31,45.48,145.9,863.06
2019-02-28,44.79,145.2,834.71
2019-03-31,45.14,145.6,849.01
2019-04-30,44.85,145.3,837.46
2019-05-31,43.58,143.9,774.38
2019-06-30,35.46,136.4,477.7
2019-07-31,29.65,132.3,343.9
2019-08-31,23.84,128.4,239.02
2019-09-30,38.52,138.8,565.42
2019-10-31,39.89,140.0,612.96
2019-11-30,39.64,139.8,604.03
2019-12-31,42.83,143.0,737.01
2020-01-31,42.04,142.0,695.71
2020-02-29,44.17,144.6,805.33
2020-03-31,42.94,143.1,742.76
2020-04-30,40.5,140.6,636.39
2020-05-31,36.01,136.8,492.08
2020-06-30,33.98,135.4,440.73
2020-07-31,27.3,130.8,299.56
2020-08-31,31.29,133.5,378.7
2020-09-30,28.5,131.6,321.78
2020-10-31,34.5,135.7,453.34
2020-11-30,35.07,136.1,467.5
2020-12-31,37.01,137.6,520.09
2021-01-31,41.11,141.2,659.99
2021-02-28,40.84,140.9,649.63
2021-03-31,41.58,141.6,677.61
2021-04-30,40.28,140.4,627.85
2021-05-31,36.08,136.9,493.88
2021-06-30,31.68,133.7,387.0
2021-07-31,21.65,126.9,205.52
2021-08-31,19.43,125.5,175.67
2021-09-30,32.6,134.4,407.62
2021-10-31,29.69,132.3,344.72
2021-11-30,36.0,136.8,491.63
2021-12-31,36.31,137.1,500.17
2022-01-31,34.75,135.9,459.3
2022-02-28,34.32,135.6,448.96
2022-03-31,32.83,134.5,413.24
2022-04-30,32.21,134.1,398.45
2022-05-31,29.18,132.0,334.0
2022-06-30,19.62,125.6,178.0
2022-07-31,22.95,127.8,224.76
2022-08-31,27.33,130.8,300.19
2022-09-30,17.91,124.4,156.36
2022-10-31,36.3,137.0,499.9
2022-11-30,36.33,137.1,500.71
2022-12-31,39.65,139.8,604.44
2023-01-31,39.78,139.9,608.88
2023-02-28,39.47,139.6,597.94
2023-03-31,37.19,137.7,525.31
2023-04-30,38.96,139.2,579.79
2023-05-31,31.13,133.3,375.1
2023-06-30,17.84,124.4,155.46
2023-07-31,23.05,127.9,226.31
2023-08-31,25.17,129.3,261.04
2023-09-30,25.96,129.8,274.0
2023-10-31,39.14,139.3,586.43
2023-11-30,41.97,142.0,692.55
2023-12-31,42.39,142.5,713.86
2024-01-31,41.66,141.7,680.76
2024-02-29,41.76,141.8,684.59
2024-03-31,39.89,140.0,613.12
2024-04-30,36.19,137.0,496.7
2024-05-31,31.28,133.5,378.48
2024-06-30,30.76,133.1,367.38
2024-07-31,26.89,130.5,291.41
2024-08-31,23.02,127.8,225.73
2024-09-30,31.98,133.9,393.37
2024-10-31,40.95,141.0,653.82
2024-11-30,40.88,141.0,651.22
2024-12-31,40.57,140.7,639.24
2025-01-31,42.23,142.3,705.65
2025-02-28,40.4,140.5,632.64
2025-03-31,39.42,139.6,596.03
2025-04-30,35.94,136.8,490.18
2025-05-31,32.64,134.4,408.79
