Time,area_km2,elevation_m,changed_storage_mcm
2014-01-31,2.26,610.0,47.0
2014-02-28,2.0,604.3,34.78
2014-03-31,1.88,602.0,30.38
2014-04-30,1.75,599.7,26.23
2014-05-31,1.87,601.9,30.12
2014-06-30,1.49,595.7,19.65
2014-07-31,1.87,602.0,30.3
2014-08-31,2.17,607.4,41.23
2014-09-30,2.28,610.7,48.67
2014-10-31,1.31,591.6,13.87
2014-11-30,2.39,615.5,59.89
2014-12-31,2.28,610.9,49.17
2015-01-31,2.39,615.2,59.11
2015-02-28,2.41,616.6,62.51
2015-03-31,2.28,611.0,49.33
2015-04-30,1.54,596.3,20.64
2015-05-31,1.13,589.1,10.85
2015-06-30,1.13,589.0,10.77
2015-07-31,1.77,600.1,26.94
2015-08-31,2.4,615.8,60.66
2015-09-30,2.03,604.8,35.75
2015-10-31,2.44,618.6,67.43
2015-11-30,2.31,611.7,50.98
2015-12-31,2.22,608.5,43.78
2016-01-31,2.4,615.6,60.23
2016-02-29,2.47,620.8,72.73
2016-03-31,2.32,612.0,51.66
2016-04-30,2.21,608.4,43.48
2016-05-31,1.68,598.4,23.9
2016-06-30,1.57,596.6,21.09
2016-07-31,1.46,594.9,18.42
2016-08-31,1.7,598.9,24.74
2016-09-30,1.95,603.3,32.85
2016-10-31,2.19,607.8,42.25
2016-11-30,2.43,618.5,67.12
2016-12-31,1.94,603.1,32.46
2017-01-31,2.42,617.5,64.64
2017-02-28,2.27,610.5,48.17
2017-03-31,2.36,614.2,56.85
2017-04-30,2.15,607.1,40.68
2017-05-31,2.06,605.1,36.45
2017-06-30,1.8,600.8,28.09
2017-07-31,1.54,596.4,20.66
2017-08-31,2.23,608.8,44.42
2017-09-30,1.87,601.9,30.2
2017-10-31,2.35,613.5,55.19
2017-11-30,2.46,620.4,71.82
2017-12-31,2.17,607.5,41.6
2018-01-31,2.47,621.0,73.28
2018-02-28,2.4,615.6,60.23
2018-03-31,2.42,617.7,65.21
2018-04-30,1.87,601.9,30.1
2018-05-31,2.1,605.6,37.55
2018-06-30,2.07,605.3,36.87
2018-07-31,2.05,605.0,36.19
2018-08-31,2.03,604.7,35.56
2018-09-30,1.99,604.1,34.47
2018-10-31,2.43,618.1,66.04
2018-11-30,2.16,607.3,40.98
2018-12-31,2.48,621.3,73.88
2019-01-31,2.07,605.3,36.89
2019-02-28,2.02,604.6,35.34
2019-03-31,1.49,595.8,19.78
2019-04-30,1.22,590.2,12.12
2019-05-31,1.41,594.0,17.21
2019-06-30,1.61,597.1,21.76
2019-07-31,1.81,601.0,28.56
2019-08-31,2.0,604.4,34.93
2019-09-30,2.56,625.1,83.61
2019-10-31,2.58,625.9,85.58
2019-11-30,2.56,624.7,82.58
2019-12-31,2.55,624.6,82.17
2020-01-31,2.42,617.4,64.52
2020-02-29,2.31,611.6,50.76
2020-03-31,1.94,603.3,32.72
2020-04-30,1.8,600.9,28.24
2020-05-31,1.73,599.4,25.7
2020-06-30,1.25,590.5,12.57
2020-07-31,2.13,606.4,39.2
2020-08-31,2.14,606.9,40.14
2020-09-30,2.33,612.7,53.23
2020-10-31,1.87,601.9,30.07
2020-11-30,2.46,620.1,71.03
2020-12-31,2.46,620.0,70.81
2021-01-31,2.11,605.8,37.91
2021-02-28,1.78,600.3,27.28
2021-03-31,1.64,597.6,22.64
2021-04-30,1.6,596.9,21.48
2021-05-31,1.45,594.8,18.28
2021-06-30,2.35,613.7,55.53
2021-07-31,2.1,605.7,37.57
2021-08-31,2.44,619.2,68.81
2021-09-30,2.51,622.9,77.89
2021-10-31,2.59,626.1,86.2
2021-11-30,2.28,610.8,48.84
2021-12-31,2.54,624.2,81.35
2022-01-31,2.41,616.6,62.51
2022-02-28,2.12,606.1,38.4
2022-03-31,1.95,603.4,33.06
2022-04-30,1.62,597.2,22.05
2022-05-31,1.59,596.9,21.42
2022-06-30,1.71,599.0,24.96
2022-07-31,1.99,604.1,34.44
2022-08-31,2.21,608.3,43.23
2022-09-30,2.42,617.5,64.64
2022-10-31,1.65,597.9,23.13
2022-11-30,2.41,617.0,63.5
2022-12-31,2.42,617.6,64.87
2023-01-31,2.39,615.1,58.94
2023-02-28,2.28,611.0,49.25
2023-03-31,2.13,606.4,39.05
2023-04-30,1.76,600.1,26.88
2023-05-31,1.68,598.5,24.05
2023-06-30,1.92,602.7,31.71
2023-07-31,2.61,627.0,88.61
2023-08-31,2.07,605.3,36.76
2023-09-30,2.24,609.0,44.83
2023-10-31,2.52,623.2,78.8
2023-11-30,2.12,606.0,38.25
2023-12-31,2.47,620.7,72.39
2024-01-31,2.53,623.5,79.52
2024-02-29,2.42,617.8,65.44
2024-03-31,2.2,608.1,42.84
2024-04-30,1.95,603.5,33.13
2024-05-31,1.84,601.5,29.41
2024-06-30,1.43,594.3,17.64
2024-07-31,1.12,588.9,10.61
2024-08-31,2.23,608.7,44.17
2024-09-30,2.51,622.8,77.69
2024-10-31,2.55,624.4,81.76
2024-11-30,2.54,624.1,80.94
2024-12-31,2.13,606.2,38.69
2025-01-31,2.18,607.6,41.71
2025-02-28,2.06,605.1,36.43
2025-03-31,1.78,600.5,27.62
2025-04-30,1.51,596.1,20.29
2025-05-31,1.34,592.3,14.84
