Time,area_km2,elevation_m,changed_storage_mcm
2000-01-31,23.39,58.3,95.82
2000-02-29,23.39,58.3,95.82
2000-03-31,23.39,58.3,95.82
2000-04-30,16.51,55.4,38.09
2000-05-31,9.62,52.4,0.0
2000-06-30,14.7,54.7,26.69
2000-07-31,19.77,56.7,62.69
2000-08-31,22.98,58.1,91.81
2000-09-30,26.19,59.5,126.06
2000-10-31,31.27,61.8,191.42
2000-11-30,36.34,64.1,271.23
2000-12-31,36.03,64.0,265.91
2001-01-31,35.73,63.8,260.71
2001-02-28,35.42,63.7,255.59
2001-03-31,30.34,61.4,178.47
2001-04-30,32.11,62.2,203.62
2001-05-31,24.66,58.8,109.01
2001-06-30,26.04,59.4,124.29
2001-07-31,25.82,59.3,121.78
2001-08-31,28.13,60.4,149.42
2001-09-30,30.45,61.4,179.94
2001-10-31,30.55,61.4,181.23
2001-11-30,31.14,61.7,189.6
2001-12-31,31.73,62.0,198.04
2002-01-31,32.32,62.3,206.78
2002-02-28,32.91,62.5,215.64
2002-03-31,29.69,61.1,169.55
2002-04-30,29.14,60.8,162.38
2002-05-31,27.32,60.0,139.4
2002-06-30,25.5,59.2,118.25
2002-07-31,26.33,59.6,127.62
2002-08-31,27.15,59.9,137.31
2002-09-30,27.98,60.3,147.48
2002-10-31,28.8,60.7,157.97
2002-11-30,29.63,61.0,168.79
2002-12-31,30.46,61.4,179.98
2003-01-31,30.31,61.3,177.96
2003-02-28,26.49,59.6,129.51
2003-03-31,25.77,59.3,121.29
2003-04-30,23.97,58.5,101.75
2003-05-31,25.32,59.1,116.23
2003-06-30,26.67,59.7,131.64
2003-07-31,28.02,60.3,147.98
2003-08-31,29.37,60.9,165.27
2003-09-30,30.72,61.5,183.65
2003-10-31,32.07,62.1,203.03
2003-11-30,33.42,62.8,223.42
2003-12-31,36.25,64.1,269.71
2004-01-31,33.45,62.8,223.97
2004-02-29,30.64,61.5,182.52
2004-03-31,31.88,62.1,200.28
2004-04-30,30.11,61.2,175.23
2004-05-31,28.64,60.6,155.81
2004-06-30,27.17,59.9,137.5
2004-07-31,25.7,59.3,120.48
2004-08-31,28.59,60.6,155.15
2004-09-30,31.69,62.0,197.49
2004-10-31,34.8,63.4,245.33
2004-11-30,33.43,62.8,223.57
2004-12-31,29.7,61.1,169.81
2005-01-31,26.55,59.7,130.24
2005-02-28,22.65,58.0,88.49
2005-03-31,19.95,56.8,64.15
2005-04-30,17.17,55.7,42.76
2005-05-31,17.16,55.7,42.67
2005-06-30,14.79,54.7,27.22
2005-07-31,20.97,57.3,72.97
2005-08-31,20.34,57.0,67.47
2005-09-30,19.72,56.7,62.26
2005-10-31,22.1,57.7,83.34
2005-11-30,24.49,58.8,107.25
2005-12-31,23.91,58.5,101.17
2006-01-31,23.34,58.3,95.33
2006-02-28,23.63,58.4,98.3
2006-03-31,20.79,57.2,71.38
2006-04-30,23.17,58.2,93.72
2006-05-31,21.38,57.4,76.54
2006-06-30,22.77,58.0,89.69
2006-07-31,23.68,58.4,98.79
2006-08-31,28.66,60.6,156.13
2006-09-30,33.64,62.9,226.83
2006-10-31,36.39,64.2,272.04
2006-11-30,38.06,65.0,301.6
2006-12-31,37.6,64.7,293.29
2007-01-31,35.04,63.5,249.33
2007-02-28,34.66,63.3,243.08
2007-03-31,31.32,61.8,192.24
2007-04-30,28.51,60.5,154.2
2007-05-31,28.23,60.4,150.64
2007-06-30,27.95,60.3,147.2
2007-07-31,28.81,60.7,158.0
2007-08-31,27.59,60.1,142.65
2007-09-30,29.83,61.1,171.44
2007-10-31,32.06,62.1,202.99
2007-11-30,32.17,62.2,204.51
2007-12-31,32.27,62.2,206.02
2008-01-31,31.09,61.7,188.92
2008-02-29,29.91,61.2,172.59
2008-03-31,25.31,59.1,116.15
2008-04-30,21.61,57.5,78.75
2008-05-31,20.14,56.9,65.72
2008-06-30,23.14,58.2,93.4
2008-07-31,26.15,59.5,125.51
2008-08-31,29.15,60.8,162.43
2008-09-30,32.15,62.2,204.26
2008-10-31,34.18,63.1,235.42
2008-11-30,36.6,64.3,275.76
2008-12-31,39.03,65.4,319.58
2009-01-31,39.03,65.4,319.61
2009-02-28,37.61,64.7,293.6
2009-03-31,31.1,61.7,189.06
2009-04-30,35.08,63.5,249.95
2009-05-31,31.66,62.0,197.03
2009-06-30,31.54,61.9,195.31
2009-07-31,29.25,60.9,163.7
2009-08-31,26.95,59.8,134.95
2009-09-30,30.61,61.5,182.07
2009-10-31,34.26,63.2,236.71
2009-11-30,35.29,63.6,253.52
2009-12-31,34.34,63.2,237.95
2010-01-31,31.72,62.0,197.92
2010-02-28,28.0,60.3,147.75
2010-03-31,25.31,59.1,116.2
2010-04-30,21.8,57.6,80.49
2010-05-31,20.27,57.0,66.79
2010-06-30,24.33,58.7,105.59
2010-07-31,18.03,56.0,48.99
2010-08-31,26.29,59.5,127.26
2010-09-30,31.02,61.7,187.9
2010-10-31,30.38,61.4,178.94
2010-11-30,31.74,62.0,198.18
2010-12-31,33.1,62.6,218.52
2011-01-31,39.99,65.9,338.07
2011-02-28,38.68,65.3,313.15
2011-03-31,34.04,63.1,233.1
2011-04-30,32.53,62.4,209.82
2011-05-31,31.02,61.7,187.89
2011-06-30,29.51,61.0,167.14
2011-07-31,28.0,60.3,147.74
2011-08-31,28.93,60.7,159.62
2011-09-30,32.53,62.4,209.92
2011-10-31,36.14,64.0,267.67
2011-11-30,35.33,63.7,254.07
2011-12-31,37.65,64.8,294.3
2012-01-31,34.69,63.4,243.64
2012-02-29,31.74,62.0,198.14
2012-03-31,29.84,61.1,171.63
2012-04-30,28.39,60.5,152.61
2012-05-31,26.94,59.8,134.81
2012-06-30,25.49,59.2,118.12
2012-07-31,24.04,58.6,102.48
2012-08-31,22.59,57.9,87.86
2012-09-30,29.49,61.0,166.85
2012-10-31,36.39,64.2,272.01
2012-11-30,32.07,62.1,203.02
2012-12-31,27.75,60.2,144.64
2013-01-31,34.89,63.5,246.82
2013-02-28,32.23,62.2,205.37
2013-03-31,29.56,61.0,167.84
2013-04-30,28.49,60.5,153.9
2013-05-31,25.06,59.0,113.4
2013-06-30,25.37,59.1,116.79
2013-07-31,25.67,59.3,120.19
2013-08-31,25.98,59.4,123.58
2013-09-30,25.08,59.0,113.64
2013-10-31,27.64,60.1,143.32
2013-11-30,31.8,62.0,199.09
2013-12-31,35.96,64.0,264.65
2014-01-31,40.12,66.0,340.59
2014-02-28,33.83,63.0,229.81
2014-03-31,29.4,60.9,165.71
2014-04-30,24.09,58.6,103.06
2014-05-31,24.62,58.8,108.6
2014-06-30,21.08,57.3,73.98
2014-07-31,20.85,57.2,71.94
2014-08-31,20.62,57.1,69.9
2014-09-30,20.39,57.0,67.86
2014-10-31,22.95,58.1,91.52
2014-11-30,34.69,63.4,243.62
2014-12-31,34.4,63.2,238.95
2015-01-31,28.72,60.6,156.93
2015-02-28,24.7,58.8,109.43
2015-03-31,21.34,57.4,76.22
2015-04-30,19.27,56.5,58.57
2015-05-31,17.06,55.6,41.96
2015-06-30,18.92,56.4,55.74
2015-07-31,38.09,65.0,302.24
2015-08-31,11.55,53.4,10.13
2015-09-30,22.56,57.9,87.6
2015-10-31,33.57,62.8,225.72
2015-11-30,34.56,63.3,241.49
2015-12-31,34.32,63.2,237.63
2016-01-31,29.16,60.8,162.56
2016-02-29,26.75,59.7,132.54
2016-03-31,23.02,58.1,92.23
2016-04-30,20.71,57.1,70.67
2016-05-31,16.86,55.5,40.58
2016-06-30,24.66,58.8,109.08
2016-07-31,18.47,56.2,52.34
2016-08-31,20.91,57.2,72.44
2016-09-30,23.35,58.3,95.42
2016-10-31,25.47,59.2,117.98
2016-11-30,27.6,60.1,142.88
2016-12-31,31.15,61.7,189.78
2017-01-31,29.23,60.9,163.52
2017-02-28,26.08,59.5,124.76
2017-03-31,22.29,57.8,85.09
2017-04-30,19.32,56.6,58.98
2017-05-31,15.82,55.1,33.6
2017-06-30,24.37,58.7,105.97
2017-07-31,24.68,58.8,109.25
2017-08-31,24.99,59.0,112.59
2017-09-30,28.62,60.6,155.64
2017-10-31,32.26,62.2,205.81
2017-11-30,35.89,63.9,263.4
2017-12-31,36.47,64.2,273.5
2018-01-31,34.82,63.4,245.65
2018-02-28,32.69,62.4,212.25
2018-03-31,30.11,61.3,175.33
2018-04-30,26.09,59.5,124.87
2018-05-31,29.3,60.9,164.36
2018-06-30,27.74,60.2,144.55
2018-07-31,29.93,61.2,172.82
2018-08-31,32.11,62.2,203.72
2018-09-30,34.3,63.2,237.34
2018-10-31,36.91,64.4,280.97
2018-11-30,41.01,66.4,358.28
2018-12-31,41.24,66.5,362.85
2019-01-31,37.59,64.7,293.19
2019-02-28,34.15,63.1,234.98
2019-03-31,29.78,61.1,170.77
2019-04-30,25.91,59.4,122.82
2019-05-31,24.49,58.8,107.31
2019-06-30,20.37,57.0,67.67
2019-07-31,21.06,57.3,73.79
2019-08-31,24.79,58.9,110.46
2019-09-30,25.79,59.3,121.46
2019-10-31,22.67,58.0,88.68
2019-11-30,22.83,58.0,90.3
2019-12-31,22.03,57.7,82.61
2020-01-31,21.01,57.3,73.33
2020-02-29,17.43,55.8,44.6
2020-03-31,16.64,55.4,39.0
2020-04-30,15.39,54.9,30.85
2020-05-31,15.99,55.2,34.76
2020-06-30,16.89,55.6,40.79
2020-07-31,11.87,53.5,11.63
2020-08-31,13.34,54.1,19.03
2020-09-30,21.95,57.7,81.95
2020-10-31,29.91,61.2,172.65
2020-11-30,32.6,62.4,210.86
2020-12-31,30.02,61.2,174.01
2021-01-31,28.07,60.3,148.56
2021-02-28,24.24,58.6,104.57
2021-03-31,20.63,57.1,69.95
2021-04-30,19.59,56.7,61.18
2021-05-31,19.07,56.5,56.96
2021-06-30,19.16,56.5,57.64
2021-07-31,18.06,56.0,49.17
2021-08-31,19.34,56.6,59.16
2021-09-30,26.86,59.8,133.88
2021-10-31,28.22,60.4,150.45
2021-11-30,33.61,62.9,226.34
2021-12-31,32.38,62.3,207.64
2022-01-31,29.45,61.0,166.3
2022-02-28,26.45,59.6,129.09
2022-03-31,22.78,58.0,89.76
2022-04-30,20.73,57.1,70.83
2022-05-31,20.23,56.9,66.47
2022-06-30,20.66,57.1,70.28
2022-07-31,21.88,57.6,81.29
2022-08-31,29.65,61.0,169.11
2022-09-30,35.98,64.0,264.92
2022-10-31,42.3,67.1,386.17
2022-11-30,42.86,67.4,402.35
2022-12-31,42.32,67.1,386.71
2023-01-31,38.58,65.2,311.24
2023-02-28,34.25,63.2,236.47
2023-03-31,29.33,60.9,164.79
2023-04-30,26.72,59.7,132.28
2023-05-31,21.64,57.5,78.97
2023-06-30,22.11,57.7,83.41
2023-07-31,16.57,55.4,38.54
