Time,area_km2,elevation_m,changed_storage_mcm
2013-01-31,4.52,64.4,35.96
2013-02-28,4.52,64.4,35.96
2013-03-31,4.52,64.4,35.96
2013-04-30,4.52,64.4,35.96
2013-05-31,4.52,64.4,35.96
2013-06-30,5.87,68.0,54.67
2013-07-31,6.22,69.1,61.11
2013-08-31,6.56,70.3,69.12
2013-09-30,5.91,68.1,55.32
2013-10-31,5.95,68.2,56.05
2013-11-30,5.17,66.1,44.26
2013-12-31,5.8,67.8,53.6
2014-01-31,6.31,69.4,63.13
2014-02-28,5.26,66.3,45.53
2014-03-31,5.47,66.9,48.41
2014-04-30,5.68,67.5,51.63
2014-05-31,5.99,68.3,56.82
2014-06-30,5.66,67.4,51.38
2014-07-31,6.42,69.8,65.58
2014-08-31,5.49,66.9,48.68
2014-09-30,5.62,67.3,50.74
2014-10-31,6.82,71.4,76.3
2014-11-30,5.77,67.7,53.12
2014-12-31,6.07,68.6,58.35
2015-01-31,6.37,69.6,64.51
2015-02-28,5.96,68.3,56.4
2015-03-31,6.6,70.5,70.15
2015-04-30,6.36,69.6,64.36
2015-05-31,6.12,68.8,59.29
2015-06-30,6.35,69.5,64.12
2015-07-31,6.58,70.4,69.6
2015-08-31,6.61,70.5,70.39
2015-09-30,6.76,71.1,74.3
2015-10-31,5.99,68.3,56.8
2015-11-30,5.36,66.6,46.97
2015-12-31,5.76,67.7,52.89
2016-01-31,5.16,66.1,44.25
2016-02-29,6.13,68.8,59.47
2016-03-31,6.4,69.7,65.32
2016-04-30,6.68,70.8,72.09
2016-05-31,5.92,68.1,55.49
2016-06-30,5.75,67.7,52.72
2016-07-31,5.78,67.7,53.16
2016-08-31,5.38,66.7,47.16
2016-09-30,4.98,65.6,41.84
2016-10-31,4.58,64.6,36.79
2016-11-30,5.57,67.2,49.96
2016-12-31,6.17,68.9,60.13
2017-01-31,5.2,66.2,44.75
2017-02-28,5.75,67.7,52.73
2017-03-31,5.59,67.2,50.16
2017-04-30,6.38,69.6,64.8
2017-05-31,6.1,68.7,58.94
2017-06-30,6.26,69.2,62.18
2017-07-31,6.36,69.6,64.27
2017-08-31,6.73,70.9,73.36
2017-09-30,6.15,68.8,59.74
2017-10-31,5.92,68.1,55.58
2017-11-30,5.69,67.5,51.89
2017-12-31,5.38,66.7,47.17
2018-01-31,5.06,65.8,42.89
2018-02-28,6.39,69.7,65.03
2018-03-31,6.53,70.2,68.23
2018-04-30,5.93,68.2,55.73
2018-05-31,6.7,70.9,72.79
2018-06-30,6.29,69.3,62.85
2018-07-31,5.88,68.0,54.92
2018-08-31,6.01,68.4,57.28
2018-09-30,6.14,68.8,59.64
2018-10-31,6.27,69.2,62.27
2018-11-30,5.23,66.3,45.12
2018-12-31,6.06,68.6,58.22
2019-01-31,6.53,70.2,68.41
2019-02-28,6.92,71.8,79.37
2019-03-31,7.35,73.9,94.27
2019-04-30,7.17,73.0,87.49
2019-05-31,6.87,71.6,77.74
2019-06-30,5.12,66.0,43.6
2019-07-31,6.4,69.7,65.29
2019-08-31,5.27,66.4,45.72
2019-09-30,6.74,71.0,73.84
2019-10-31,6.87,71.6,77.98
2019-11-30,6.56,70.3,68.97
2019-12-31,6.8,71.3,75.79
2020-01-31,6.24,69.1,61.55
2020-02-29,5.67,67.4,51.45
2020-03-31,6.98,72.1,81.34
2020-04-30,6.47,70.0,66.81
2020-05-31,6.79,71.2,75.34
2020-06-30,6.48,70.0,66.98
2020-07-31,6.32,69.4,63.41
2020-08-31,5.62,67.3,50.66
2020-09-30,6.54,70.2,68.69
2020-10-31,6.09,68.7,58.77
2020-11-30,7.08,72.6,84.69
2020-12-31,6.23,69.1,61.34
2021-01-31,7.05,72.5,83.75
2021-02-28,6.59,70.4,69.91
2021-03-31,6.28,69.3,62.46
2021-04-30,6.54,70.2,68.64
2021-05-31,6.88,71.7,78.25
2021-06-30,6.02,68.5,57.47
2021-07-31,6.63,70.6,70.98
2021-08-31,5.27,66.4,45.68
2021-09-30,5.91,68.1,55.37
2021-10-31,6.18,68.9,60.3
