Time,area_km2,elevation_m,changed_storage_mcm
1990-01-31,14.28,283.0,62.85
1990-02-28,14.28,283.0,62.85
1990-03-31,14.33,283.0,63.28
1990-04-30,14.37,283.0,63.73
1990-05-31,14.41,283.1,64.18
1990-06-30,14.46,283.1,64.63
1990-07-31,14.5,283.1,65.08
1990-08-31,14.54,283.2,65.54
1990-09-30,14.59,283.2,65.99
1990-10-31,14.63,283.2,66.44
1990-11-30,14.67,283.3,66.89
1990-12-31,15.3,283.7,73.62
1991-01-31,15.8,284.1,79.14
1991-02-28,16.3,284.4,84.88
1991-03-31,15.55,283.9,76.38
1991-04-30,14.81,283.4,68.3
1991-05-31,12.96,282.0,50.06
1991-06-30,13.05,282.1,50.87
1991-07-31,13.13,282.2,51.67
1991-08-31,13.22,282.2,52.48
1991-09-30,13.31,282.3,53.29
1991-10-31,15.22,283.7,72.75
1991-11-30,17.14,285.0,94.91
1991-12-31,15.78,284.1,78.92
1992-01-31,14.42,283.1,64.3
1992-02-29,13.07,282.1,51.04
1992-03-31,16.17,284.3,83.38
1992-04-30,15.42,283.8,74.95
1992-05-31,15.45,283.8,75.32
1992-06-30,15.49,283.8,75.68
1992-07-31,11.94,281.3,41.08
1992-08-31,13.34,282.3,53.63
1992-09-30,14.74,283.3,67.61
1992-10-31,14.81,283.4,68.36
1992-11-30,14.88,283.4,69.12
1992-12-31,14.6,283.2,66.13
1993-01-31,13.5,282.4,55.12
1993-02-28,12.4,281.7,45.02
1993-03-31,11.3,280.9,35.8
1993-04-30,12.89,282.0,49.43
1993-05-31,12.28,281.6,43.98
1993-06-30,11.67,281.1,38.82
1993-07-31,11.96,281.3,41.24
1993-08-31,12.25,281.5,43.68
1993-09-30,12.54,281.7,46.25
1993-10-31,12.42,281.7,45.21
1993-11-30,12.31,281.6,44.17
1993-12-31,12.06,281.4,42.03
1994-01-31,11.81,281.2,39.92
1994-02-28,11.62,281.1,38.38
1994-03-31,11.44,281.0,36.88
1994-04-30,10.78,280.5,31.68
1994-05-31,11.15,280.8,34.61
1994-06-30,11.52,281.0,37.56
1994-07-31,11.9,281.3,40.7
1994-08-31,12.24,281.5,43.61
1994-09-30,12.59,281.8,46.69
1994-10-31,14.4,283.1,64.07
1994-11-30,16.22,284.4,83.93
1994-12-31,15.41,283.8,74.83
1995-01-31,15.26,283.7,73.18
1995-02-28,15.01,283.5,70.39
1995-03-31,14.5,283.1,65.07
1995-04-30,13.99,282.8,59.92
1995-05-31,13.42,282.4,54.34
1995-06-30,11.97,281.3,41.29
1995-07-31,10.99,280.7,33.36
1995-08-31,14.78,283.3,68.01
1995-09-30,15.04,283.5,70.76
1995-10-31,15.3,283.7,73.64
1995-11-30,10.15,280.1,27.06
1995-12-31,12.67,281.8,47.46
1996-01-31,15.2,283.6,72.47
1996-02-29,11.25,280.8,35.36
1996-03-31,15.33,283.7,74.0
1996-04-30,14.41,283.1,64.2
1996-05-31,12.89,282.0,49.37
1996-06-30,12.81,281.9,48.63
1996-07-31,11.42,281.0,36.73
1996-08-31,10.04,280.0,26.23
1996-09-30,11.45,281.0,36.97
1996-10-31,12.87,282.0,49.17
1996-11-30,13.05,282.1,50.88
1996-12-31,13.23,282.2,52.62
1997-01-31,13.42,282.4,54.36
1997-02-28,13.0,282.1,50.36
1997-03-31,13.24,282.2,52.63
1997-04-30,11.7,281.2,39.05
1997-05-31,11.6,281.1,38.16
1997-06-30,12.35,281.6,44.6
1997-07-31,13.18,282.2,52.12
1997-08-31,14.01,282.8,60.14
1997-09-30,14.84,283.4,68.65
1997-10-31,13.14,282.2,51.68
1997-11-30,13.63,282.5,56.31
1997-12-31,14.12,282.9,61.2
1998-01-31,15.56,283.9,76.51
1998-02-28,14.78,283.3,67.99
1998-03-31,14.96,283.5,69.9
1998-04-30,14.78,283.3,68.0
1998-05-31,13.5,282.4,55.09
1998-06-30,12.77,281.9,48.29
1998-07-31,12.38,281.6,44.81
1998-08-31,11.74,281.2,39.38
1998-09-30,12.09,281.4,42.28
1998-10-31,12.43,281.7,45.29
1998-11-30,12.96,282.1,50.07
1998-12-31,12.64,281.8,47.18
