Time,area_km2,elevation_m,changed_storage_mcm
2009-01-31,0.26,465.2,2.03
2009-02-28,0.3,467.5,2.68
2009-03-31,0.32,468.7,3.06
2009-04-30,0.28,466.3,2.34
2009-05-31,0.27,465.6,2.15
2009-06-30,0.22,463.4,1.61
2009-07-31,0.26,465.2,2.04
2009-08-31,0.3,467.0,2.54
2009-09-30,0.3,467.2,2.6
2009-10-31,0.29,466.7,2.44
2009-11-30,0.27,465.6,2.16
2009-12-31,0.25,464.6,1.88
2010-01-31,0.21,463.0,1.5
2010-02-28,0.29,466.7,2.45
2010-03-31,0.28,465.9,2.22
2010-04-30,0.21,463.0,1.51
2010-05-31,0.15,460.1,0.99
2010-06-30,0.23,463.5,1.63
2010-07-31,0.3,467.5,2.68
2010-08-31,0.24,464.0,1.74
2010-09-30,0.29,466.5,2.4
2010-10-31,0.26,465.2,2.04
2010-11-30,0.25,464.6,1.89
2010-12-31,0.24,464.0,1.74
2011-01-31,0.23,463.6,1.65
2011-02-28,0.22,463.2,1.56
2011-03-31,0.21,462.9,1.5
2011-04-30,0.2,462.6,1.44
2011-05-31,0.2,462.3,1.37
2011-06-30,0.29,466.7,2.45
2011-07-31,0.2,462.7,1.45
2011-08-31,0.17,461.4,1.21
2011-09-30,0.14,459.8,0.95
2011-10-31,0.15,460.3,1.03
2011-11-30,0.16,460.8,1.11
2011-12-31,0.17,461.3,1.18
2012-01-31,0.18,461.7,1.25
2012-02-29,0.19,462.1,1.33
2012-03-31,0.23,463.7,1.67
2012-04-30,0.27,465.8,2.21
2012-05-31,0.26,465.0,2.0
2012-06-30,0.24,464.0,1.74
2012-07-31,0.22,463.4,1.6
2012-08-31,0.21,462.7,1.46
2012-09-30,0.19,462.0,1.32
2012-10-31,0.19,462.1,1.33
2012-11-30,0.19,462.1,1.33
2012-12-31,0.19,462.3,1.37
2013-01-31,0.2,462.4,1.4
2013-02-28,0.2,462.6,1.44
2013-03-31,0.21,462.8,1.47
2013-04-30,0.17,461.1,1.16
2013-05-31,0.23,463.7,1.68
2013-06-30,0.24,463.9,1.71
2013-07-31,0.24,464.0,1.73
2013-08-31,0.27,465.7,2.18
2013-09-30,0.31,467.6,2.72
2013-10-31,0.23,463.6,1.65
2013-11-30,0.22,463.2,1.55
2013-12-31,0.21,462.7,1.46
2014-01-31,0.19,462.2,1.36
2014-02-28,0.18,461.7,1.26
2014-03-31,0.3,467.3,2.62
2014-04-30,0.29,466.7,2.47
2014-05-31,0.25,464.8,1.95
2014-06-30,0.22,463.2,1.57
2014-07-31,0.19,461.9,1.29
2014-08-31,0.3,467.0,2.53
2014-09-30,0.23,463.5,1.63
2014-10-31,0.18,461.5,1.23
2014-11-30,0.17,461.1,1.14
2014-12-31,0.16,460.5,1.05
2015-01-31,0.2,462.5,1.42
2015-02-28,0.17,461.3,1.19
2015-03-31,0.29,466.6,2.42
2015-04-30,0.13,459.2,0.86
2015-05-31,0.25,464.4,1.85
2015-06-30,0.23,463.6,1.65
2015-07-31,0.23,463.6,1.65
2015-08-31,0.25,464.8,1.95
2015-09-30,0.28,466.2,2.3
2015-10-31,0.18,461.7,1.26
2015-11-30,0.23,463.5,1.63
2015-12-31,0.25,464.4,1.85
2016-01-31,0.27,465.5,2.11
2016-02-29,0.29,466.4,2.37
2016-03-31,0.31,467.6,2.72
2016-04-30,0.29,466.7,2.44
2016-05-31,0.29,466.6,2.42
2016-06-30,0.22,463.1,1.54
2016-07-31,0.28,466.0,2.26
2016-08-31,0.17,461.2,1.17
2016-09-30,0.15,460.3,1.02
2016-10-31,0.14,459.4,0.89
2016-11-30,0.13,458.8,0.82
2016-12-31,0.16,460.4,1.05
2017-01-31,0.19,461.9,1.29
2017-02-28,0.27,465.7,2.17
2017-03-31,0.23,463.7,1.68
2017-04-30,0.28,466.3,2.34
2017-05-31,0.24,464.2,1.78
2017-06-30,0.23,463.5,1.63
2017-07-31,0.22,463.4,1.6
2017-08-31,0.22,463.3,1.58
2017-09-30,0.26,465.2,2.05
2017-10-31,0.21,463.0,1.5
2017-11-30,0.13,459.2,0.87
2017-12-31,0.16,460.8,1.1
2018-01-31,0.19,462.1,1.33
2018-02-28,0.19,462.1,1.33
2018-03-31,0.19,462.1,1.33
2018-04-30,0.25,464.5,1.86
2018-05-31,0.19,462.0,1.32
2018-06-30,0.19,462.2,1.36
2018-07-31,0.19,461.9,1.3
2018-08-31,0.16,460.7,1.08
2018-09-30,0.16,460.8,1.11
2018-10-31,0.17,461.0,1.14
2018-11-30,0.14,459.8,0.95
2018-12-31,0.16,460.9,1.12
2019-01-31,0.18,461.8,1.28
2019-02-28,0.24,463.9,1.71
2019-03-31,0.23,463.7,1.67
2019-04-30,0.22,463.2,1.56
2019-05-31,0.23,463.8,1.68
2019-06-30,0.25,464.3,1.82
2019-07-31,0.24,463.9,1.72
2019-08-31,0.2,462.7,1.44
2019-09-30,0.21,462.8,1.47
2019-10-31,0.26,465.0,1.98
2019-11-30,0.23,463.7,1.67
2019-12-31,0.12,458.5,0.78
2020-01-31,0.24,464.0,1.74
2020-02-29,0.25,464.7,1.91
2020-03-31,0.25,464.3,1.82
2020-04-30,0.25,464.8,1.93
2020-05-31,0.25,464.3,1.82
2020-06-30,0.21,462.9,1.48
2020-07-31,0.23,463.6,1.65
2020-08-31,0.22,463.4,1.6
2020-09-30,0.28,466.1,2.29
2020-10-31,0.24,463.9,1.71
2020-11-30,0.23,463.6,1.65
2020-12-31,0.14,459.8,0.94
2021-01-31,0.24,464.1,1.77
2021-02-28,0.24,463.9,1.71
2021-03-31,0.31,468.0,2.84
2021-04-30,0.28,466.3,2.35
2021-05-31,0.29,466.4,2.37
2021-06-30,0.28,466.3,2.35
2021-07-31,0.22,463.4,1.61
2021-08-31,0.34,471.1,3.86
2021-09-30,0.3,467.5,2.7
2021-10-31,0.25,464.3,1.82
2021-11-30,0.3,466.9,2.52
2021-12-31,0.25,464.3,1.82
2022-01-31,0.19,462.3,1.37
2022-02-28,0.14,459.7,0.94
2022-03-31,0.25,464.6,1.9
2022-04-30,0.32,468.8,3.1
2022-05-31,0.32,469.0,3.16
2022-06-30,0.33,469.7,3.39
2022-07-31,0.32,468.5,3.02
2022-08-31,0.32,469.0,3.16
2022-09-30,0.34,470.7,3.72
2022-10-31,0.27,465.5,2.12
2022-11-30,0.25,464.6,1.88
2022-12-31,0.27,465.5,2.12
2023-01-31,0.29,466.4,2.37
2023-02-28,0.24,464.1,1.77
2023-03-31,0.25,464.7,1.92
2023-04-30,0.35,471.4,3.98
2023-05-31,0.34,470.4,3.63
2023-06-30,0.27,465.6,2.16
2023-07-31,0.28,466.3,2.34
2023-08-31,0.3,467.4,2.66
2023-09-30,0.3,467.5,2.68
2023-10-31,0.28,466.3,2.34
2023-11-30,0.2,462.7,1.45
2023-12-31,0.25,464.4,1.85
2024-01-31,0.15,460.0,0.98
2024-02-29,0.27,465.5,2.12
2024-03-31,0.31,467.8,2.78
2024-04-30,0.32,469.0,3.16
2024-05-31,0.28,466.2,2.3
2024-06-30,0.29,466.7,2.47
2024-07-31,0.23,463.7,1.67
2024-08-31,0.3,467.1,2.58
2024-09-30,0.3,467.2,2.6
2024-10-31,0.23,463.5,1.63
2024-11-30,0.25,464.9,1.96
2024-12-31,0.12,458.7,0.8
2025-01-31,0.13,459.1,0.85
2025-02-28,0.14,459.5,0.91
2025-03-31,0.15,460.0,0.98
2025-04-30,0.26,465.0,1.98
2025-05-31,0.29,466.6,2.42
