Time,area_km2,elevation_m,changed_storage_mcm
2007-01-31,63.85,90.4,866.63
2007-02-28,68.44,92.6,1007.91
2007-03-31,70.25,93.5,1071.02
2007-04-30,61.59,89.5,808.58
2007-05-31,71.39,94.1,1113.71
2007-06-30,70.51,93.6,1080.66
2007-07-31,63.79,90.4,864.87
2007-08-31,62.66,89.9,833.9
2007-09-30,61.52,89.5,806.83
2007-10-31,73.71,95.5,1215.71
2007-11-30,64.31,90.6,879.32
2007-12-31,54.15,86.5,636.08
2008-01-31,64.13,90.6,874.25
2008-02-29,74.89,96.2,1269.16
2008-03-31,73.05,95.1,1186.34
2008-04-30,70.37,93.6,1075.57
2008-05-31,67.67,92.2,982.46
2008-06-30,64.04,90.5,871.93
2008-07-31,65.93,91.4,927.07
2008-08-31,67.81,92.3,987.01
2008-09-30,69.02,92.9,1027.21
2008-10-31,74.0,95.7,1228.67
2008-11-30,74.69,96.1,1259.85
2008-12-31,71.25,94.0,1107.65
2009-01-31,75.81,96.8,1312.29
2009-02-28,76.91,97.5,1366.35
2009-03-31,79.01,99.0,1480.68
2009-04-30,70.17,93.5,1068.3
2009-05-31,66.14,91.5,933.66
2009-06-30,65.55,91.2,915.24
2009-07-31,64.96,90.9,897.38
2009-08-31,64.37,90.7,880.91
2009-09-30,67.1,91.9,963.64
2009-10-31,67.69,92.2,983.08
2009-11-30,65.16,91.0,903.1
2009-12-31,67.27,92.0,968.93
2010-01-31,63.75,90.4,863.62
2010-02-28,62.93,90.0,840.93
2010-03-31,57.92,88.1,720.72
2010-04-30,63.99,90.5,870.38
2010-05-31,52.82,86.0,608.06
2010-06-30,67.41,92.1,973.68
2010-07-31,52.02,85.7,592.84
2010-08-31,55.47,87.1,664.22
2010-09-30,58.92,88.5,744.72
2010-10-31,54.79,86.8,649.7
2010-11-30,52.94,86.1,610.61
2010-12-31,52.81,86.0,607.92
2011-01-31,59.59,88.7,760.87
2011-02-28,57.73,88.0,716.28
2011-03-31,54.69,86.8,647.58
2011-04-30,56.3,87.4,683.26
2011-05-31,60.5,89.1,782.64
2011-06-30,64.71,90.8,890.46
2011-07-31,51.64,85.6,585.68
2011-08-31,54.82,86.8,650.3
2011-09-30,58.0,88.1,722.69
2011-10-31,67.34,92.0,971.28
2011-11-30,65.33,91.1,908.43
2011-12-31,61.63,89.5,809.56
2012-01-31,64.33,90.7,879.81
2012-02-29,64.87,90.9,894.91
2012-03-31,62.69,89.9,834.79
2012-04-30,64.85,90.9,894.42
2012-05-31,61.65,89.5,809.96
2012-06-30,58.45,88.3,733.37
2012-07-31,55.25,87.0,659.27
2012-08-31,52.05,85.7,593.38
2012-09-30,48.85,84.6,535.65
2012-10-31,60.7,89.2,787.36
2012-11-30,60.56,89.1,784.03
2012-12-31,62.0,89.7,818.32
2013-01-31,63.24,90.2,849.42
2013-02-28,62.25,89.8,824.29
2013-03-31,58.98,88.5,746.03
2013-04-30,61.94,89.7,816.75
2013-05-31,61.73,89.6,811.84
2013-06-30,54.84,86.8,650.75
2013-07-31,55.86,87.2,673.09
2013-08-31,54.02,86.5,633.4
2013-09-30,52.18,85.8,595.97
2013-10-31,62.41,89.8,828.02
2013-11-30,66.82,91.8,954.91
2013-12-31,67.38,92.1,972.73
2014-01-31,67.94,92.3,991.31
2014-02-28,67.16,92.0,965.54
2014-03-31,70.11,93.4,1066.2
2014-04-30,69.37,93.0,1039.12
2014-05-31,66.64,91.7,949.28
2014-06-30,63.02,90.1,843.3
2014-07-31,59.4,88.7,756.08
2014-08-31,55.77,87.2,671.19
2014-09-30,63.1,90.1,845.49
2014-10-31,69.34,93.0,1038.34
2014-11-30,65.39,91.1,910.45
2014-12-31,69.2,93.0,1033.32
2015-01-31,70.79,93.8,1090.55
2015-02-28,73.64,95.5,1212.69
2015-03-31,70.16,93.4,1067.73
2015-04-30,69.87,93.3,1057.31
2015-05-31,68.07,92.4,995.77
2015-06-30,60.06,88.9,771.92
2015-07-31,58.51,88.3,734.89
2015-08-31,58.51,88.3,734.79
2015-09-30,57.12,87.7,702.19
2015-10-31,68.35,92.5,1005.07
2015-11-30,71.08,93.9,1101.17
2015-12-31,71.76,94.3,1130.08
2016-01-31,71.18,94.0,1104.96
2016-02-29,73.37,95.3,1200.78
2016-03-31,73.66,95.5,1213.77
2016-04-30,72.6,94.8,1166.67
2016-05-31,73.48,95.4,1205.48
2016-06-30,49.03,84.7,538.73
2016-07-31,61.62,89.5,809.2
2016-08-31,61.88,89.6,815.49
2016-09-30,50.13,85.0,557.03
2016-10-31,73.24,95.2,1195.02
2016-11-30,74.06,95.7,1231.39
2016-12-31,72.6,94.8,1166.81
2017-01-31,73.5,95.4,1206.37
2017-02-28,75.03,96.3,1275.64
2017-03-31,74.38,95.9,1245.55
2017-04-30,74.47,96.0,1249.52
2017-05-31,67.84,92.3,987.94
2017-06-30,56.61,87.5,690.46
2017-07-31,60.57,89.1,784.27
2017-08-31,64.53,90.7,885.54
2017-09-30,68.49,92.6,1009.79
2017-10-31,72.45,94.7,1160.32
2017-11-30,69.12,92.9,1030.62
2017-12-31,73.49,95.4,1206.08
2018-01-31,69.66,93.2,1049.6
2018-02-28,77.08,97.6,1375.1
2018-03-31,75.28,96.5,1287.41
2018-04-30,75.08,96.3,1278.04
2018-05-31,72.26,94.6,1151.85
2018-06-30,53.9,86.4,630.95
2018-07-31,56.62,87.5,690.56
2018-08-31,59.33,88.6,754.48
2018-09-30,62.04,89.7,819.28
2018-10-31,74.19,95.8,1236.97
2018-11-30,67.39,92.1,972.82
2018-12-31,80.42,99.9,1556.24
2019-01-31,82.61,101.4,1677.88
2019-02-28,83.24,101.8,1706.65
2019-03-31,84.12,102.3,1748.0
2019-04-30,82.05,101.1,1651.57
2019-05-31,81.12,100.4,1597.61
2019-06-30,76.17,97.0,1328.97
2019-07-31,55.67,87.1,668.73
2019-08-31,61.62,89.5,809.26
2019-09-30,76.98,97.5,1369.91
2019-10-31,80.3,99.8,1549.52
2019-11-30,80.3,99.8,1549.83
2019-12-31,81.43,100.7,1616.27
2020-01-31,80.52,100.0,1561.34
2020-02-29,82.56,101.4,1675.49
