Time,area_km2,elevation_m,changed_storage_mcm
1990-01-31,27.67,83.9,96.35
1990-02-28,26.67,83.5,86.2
1990-03-31,26.42,83.4,83.73
1990-04-30,25.7,83.2,76.9
1990-05-31,24.95,82.9,70.14
1990-06-30,24.71,82.8,67.89
1990-07-31,24.46,82.7,65.82
1990-08-31,24.21,82.6,63.76
1990-09-30,25.99,83.3,79.55
1990-10-31,27.77,83.9,97.4
1990-11-30,29.55,84.6,117.38
1990-12-31,30.53,85.0,129.39
1991-01-31,30.69,85.1,131.47
1991-02-28,30.31,84.9,126.57
1991-03-31,29.58,84.6,117.76
1991-04-30,28.89,84.4,109.64
1991-05-31,28.2,84.1,102.03
1991-06-30,28.64,84.3,106.78
1991-07-31,29.08,84.4,111.82
1991-08-31,29.51,84.6,116.97
1991-09-30,29.95,84.8,122.13
1991-10-31,30.39,85.0,127.65
1991-11-30,30.83,85.1,133.24
1991-12-31,30.67,85.1,131.16
1992-01-31,30.51,85.0,129.08
1992-02-29,30.34,84.9,127.0
1992-03-31,29.64,84.7,118.39
1992-04-30,28.33,84.1,103.51
1992-05-31,27.19,83.7,91.42
1992-06-30,25.62,83.1,76.2
1992-07-31,27.24,83.7,91.91
1992-08-31,28.87,84.4,109.37
1992-09-30,30.49,85.0,128.89
1992-10-31,32.11,85.7,150.47
1992-11-30,33.74,86.4,174.62
1992-12-31,35.36,87.2,201.73
1993-01-31,35.8,87.4,209.7
1993-02-28,36.24,87.7,217.92
1993-03-31,36.68,87.9,226.4
1993-04-30,35.06,87.1,196.44
1993-05-31,32.75,86.0,159.59
1993-06-30,31.2,85.3,137.86
1993-07-31,29.79,84.7,120.25
1993-08-31,25.93,83.2,79.06
1993-09-30,26.71,83.5,86.65
1993-10-31,30.71,85.1,131.66
1993-11-30,30.15,84.9,124.6
1993-12-31,29.51,84.6,116.94
1994-01-31,28.87,84.4,109.42
1994-02-28,28.29,84.1,103.08
1994-03-31,25.63,83.1,76.33
1994-04-30,25.74,83.2,77.33
1994-05-31,25.2,83.0,72.38
1994-06-30,24.65,82.8,67.47
1994-07-31,24.11,82.6,62.95
1994-08-31,23.57,82.4,58.42
1994-09-30,24.68,82.8,67.66
1994-10-31,25.79,83.2,77.74
1994-11-30,25.58,83.1,75.88
1994-12-31,25.98,83.3,79.5
1995-01-31,24.14,82.6,63.23
1995-02-28,22.85,82.2,52.8
1995-03-31,20.57,81.4,36.5
1995-04-30,18.41,80.7,23.22
1995-05-31,18.82,80.9,25.56
1995-06-30,19.23,81.0,28.06
1995-07-31,19.64,81.1,30.55
1995-08-31,20.04,81.2,33.04
1995-09-30,23.04,82.2,54.26
1995-10-31,26.04,83.3,80.03
1995-11-30,29.04,84.4,111.38
1995-12-31,32.04,85.7,149.4
1996-01-31,35.03,87.1,196.07
1996-02-29,38.03,88.7,254.72
1996-03-31,36.98,88.1,232.39
1996-04-30,34.14,86.6,181.09
1996-05-31,33.8,86.5,175.54
1996-06-30,32.73,86.0,159.34
1996-07-31,31.67,85.5,144.3
1996-08-31,31.94,85.6,148.07
1996-09-30,32.22,85.7,151.85
1996-10-31,32.49,85.9,155.76
1996-11-30,39.84,89.8,298.53
1996-12-31,39.81,89.8,297.73
1997-01-31,39.7,89.7,294.85
1997-02-28,39.92,89.8,300.47
1997-03-31,37.44,88.3,241.83
1997-04-30,34.97,87.0,194.94
1997-05-31,31.73,85.5,145.11
1997-06-30,30.17,84.9,124.81
1997-07-31,27.42,83.8,93.71
1997-08-31,24.68,82.8,67.67
1997-09-30,21.93,81.9,45.9
1997-10-31,25.17,83.0,72.1
