Time,area_km2,elevation_m,changed_storage_mcm
2013-01-31,8.88,509.5,41.27
2013-02-28,9.39,510.0,45.84
2013-03-31,8.12,508.7,34.48
2013-04-30,8.1,508.6,34.27
2013-05-31,8.07,508.6,34.06
2013-06-30,8.05,508.6,33.84
2013-07-31,7.0,507.6,26.46
2013-08-31,7.08,507.7,26.9
2013-09-30,7.53,508.0,29.27
2013-10-31,8.15,508.7,34.74
2013-11-30,8.77,509.4,40.3
2013-12-31,10.18,510.8,53.91
2014-01-31,10.72,511.4,60.69
2014-02-28,10.5,511.2,57.69
2014-03-31,10.45,511.1,56.96
2014-04-30,9.66,510.3,48.58
2014-05-31,8.13,508.7,34.52
2014-06-30,7.91,508.4,32.6
2014-07-31,8.23,508.8,35.41
2014-08-31,8.55,509.1,38.25
2014-09-30,9.17,509.8,43.85
2014-10-31,8.91,509.5,41.53
2014-11-30,7.7,508.2,30.77
2014-12-31,11.75,512.7,75.17
2015-01-31,13.13,514.6,98.9
2015-02-28,12.08,513.2,80.2
2015-03-31,6.96,507.6,26.26
2015-04-30,6.03,506.9,21.43
2015-05-31,5.42,506.3,18.3
2015-06-30,5.43,506.3,18.36
2015-07-31,5.44,506.3,18.42
2015-08-31,4.87,505.8,15.64
2015-09-30,10.9,511.7,63.16
2015-10-31,13.0,514.5,96.49
2015-11-30,13.11,514.6,98.49
2015-12-31,12.96,514.4,95.79
2016-01-31,11.83,512.8,76.26
2016-02-29,11.81,512.8,75.95
2016-03-31,13.48,515.2,105.64
2016-04-30,12.9,514.3,94.7
2016-05-31,9.76,510.4,49.64
2016-06-30,6.03,506.8,21.41
2016-07-31,9.7,510.3,48.98
2016-08-31,10.86,511.6,62.53
2016-09-30,12.02,513.1,79.17
2016-10-31,13.46,515.1,105.18
2016-11-30,8.29,508.9,35.92
2016-12-31,12.31,513.5,84.16
2017-01-31,14.07,516.1,119.35
2017-02-28,14.27,516.6,125.11
2017-03-31,11.93,513.0,77.67
2017-04-30,13.86,515.8,114.12
2017-05-31,11.81,512.8,76.03
2017-06-30,9.76,510.4,49.63
2017-07-31,10.02,510.6,52.31
2017-08-31,10.28,510.9,55.0
2017-09-30,9.6,510.2,47.93
2017-10-31,8.91,509.5,41.5
2017-11-30,10.05,510.7,52.59
2017-12-31,9.47,510.1,46.64
2018-01-31,14.23,516.5,123.98
2018-02-28,13.71,515.5,110.82
2018-03-31,13.04,514.5,97.2
2018-04-30,13.44,515.1,104.74
2018-05-31,13.38,515.0,103.43
2018-06-30,9.01,509.6,42.37
2018-07-31,11.45,512.4,70.79
2018-08-31,12.64,514.0,89.93
2018-09-30,13.83,515.7,113.42
2018-10-31,13.32,514.9,102.43
2018-11-30,12.99,514.4,96.32
2018-12-31,13.52,515.2,106.59
2019-01-31,12.77,514.1,92.34
2019-02-28,9.59,510.2,47.91
2019-03-31,9.34,509.9,45.42
2019-04-30,6.7,507.4,24.88
2019-05-31,6.59,507.3,24.31
2019-06-30,7.95,508.5,33.01
2019-07-31,7.81,508.3,31.77
2019-08-31,7.04,507.6,26.69
2019-09-30,8.92,509.5,41.58
2019-10-31,15.13,517.9,145.13
2019-11-30,14.48,517.0,131.67
2019-12-31,14.72,517.3,136.53
2020-01-31,14.67,517.3,135.47
2020-02-29,14.08,516.2,119.43
2020-03-31,13.16,514.7,99.52
2020-04-30,12.42,513.6,86.14
2020-05-31,10.79,511.5,61.64
2020-06-30,9.31,509.9,45.13
2020-07-31,8.36,508.9,36.59
2020-08-31,13.48,515.2,105.76
2020-09-30,14.26,516.5,124.87
2020-10-31,9.04,509.6,42.66
2020-11-30,12.27,513.4,83.54
2020-12-31,13.86,515.8,114.14
2021-01-31,14.42,516.9,129.69
