Time,area_km2,elevation_m,changed_storage_mcm
2020-01-31,3.95,385.8,38.72
2020-02-29,3.89,385.5,37.65
2020-03-31,6.6,400.9,121.43
2020-04-30,3.56,384.2,32.8
2020-05-31,3.88,385.4,37.55
2020-06-30,4.33,387.2,44.85
2020-07-31,4.79,389.1,53.5
2020-08-31,3.36,383.4,30.03
2020-09-30,4.83,389.3,54.56
2020-10-31,6.04,396.4,92.95
2020-11-30,5.51,392.9,73.16
2020-12-31,5.33,391.9,67.41
2021-01-31,5.88,395.3,86.55
2021-02-28,6.0,396.1,91.36
2021-03-31,6.59,400.7,120.59
2021-04-30,6.35,398.6,106.8
2021-05-31,6.32,398.3,105.08
2021-06-30,3.21,382.7,27.87
2021-07-31,3.01,381.8,25.13
2021-08-31,4.48,387.9,47.6
2021-09-30,6.34,398.5,106.28
2021-10-31,6.18,397.3,98.84
2021-11-30,6.12,396.9,96.07
2021-12-31,6.2,397.5,99.75
2022-01-31,5.95,395.8,89.32
2022-02-28,5.91,395.5,87.53
2022-03-31,4.79,389.2,53.66
2022-04-30,6.53,400.2,117.47
2022-05-31,4.56,388.2,49.14
2022-06-30,4.5,387.9,47.86
2022-07-31,5.91,395.5,87.66
2022-08-31,6.39,398.9,108.85
2022-09-30,6.24,397.8,101.57
2022-10-31,5.73,394.3,80.75
2022-11-30,5.54,393.1,74.24
2022-12-31,4.77,389.1,53.22
2023-01-31,5.8,394.7,83.33
2023-02-28,5.81,394.8,83.87
2023-03-31,6.44,399.4,111.86
2023-04-30,6.33,398.4,105.59
2023-05-31,5.72,394.3,80.62
2023-06-30,4.81,389.2,54.07
2023-07-31,2.79,380.9,22.3
2023-08-31,4.48,387.9,47.61
2023-09-30,6.18,397.3,98.8
2023-10-31,5.6,393.5,76.41
2023-11-30,5.55,393.2,74.59
2023-12-31,5.81,394.8,83.75
2024-01-31,5.46,392.7,71.67
2024-02-29,5.45,392.6,71.4
2024-03-31,5.65,393.8,77.86
2024-04-30,6.07,396.6,94.14
2024-05-31,2.58,380.0,20.07
2024-06-30,2.69,380.5,21.26
2024-07-31,2.8,380.9,22.46
2024-08-31,3.93,385.6,38.32
2024-09-30,5.34,391.9,67.7
2024-10-31,6.02,396.2,91.95
2024-11-30,5.99,396.0,90.57
2024-12-31,5.02,390.3,59.34
2025-01-31,5.95,395.8,89.35
2025-02-28,5.69,394.1,79.48
2025-03-31,4.49,387.9,47.73
2025-04-30,5.87,395.2,86.18
2025-05-31,3.92,385.6,38.14
