Time,area_km2,elevation_m,changed_storage_mcm
2014-01-31,0.99,287.9,15.81
2014-02-28,1.08,291.0,18.99
2014-03-31,1.28,299.5,29.12
2014-04-30,0.88,285.8,13.85
2014-05-31,0.91,286.3,14.29
2014-06-30,0.93,286.6,14.59
2014-07-31,0.95,287.0,14.88
2014-08-31,0.97,287.5,15.36
2014-09-30,0.99,288.0,15.87
2014-10-31,1.01,288.6,16.45
2014-11-30,0.94,286.9,14.82
2014-12-31,0.91,286.3,14.3
2015-01-31,0.99,288.1,15.96
2015-02-28,0.96,287.2,15.13
2015-03-31,1.24,297.7,26.78
2015-04-30,0.98,287.6,15.55
2015-05-31,1.35,302.8,33.39
2015-06-30,1.11,291.9,19.99
2015-07-31,1.06,289.9,17.9
2015-08-31,1.27,299.3,28.82
2015-09-30,1.27,299.5,29.07
2015-10-31,1.28,299.7,29.33
2015-11-30,1.22,296.9,25.82
2015-12-31,0.7,281.6,10.54
2016-01-31,1.23,297.3,26.31
2016-02-29,1.27,299.4,28.97
2016-03-31,1.61,319.5,58.25
2016-04-30,1.53,313.4,48.81
2016-05-31,1.36,303.2,33.97
2016-06-30,1.11,291.9,19.99
2016-07-31,1.33,301.8,32.07
2016-08-31,1.53,313.3,48.61
2016-09-30,1.22,296.8,25.72
2016-10-31,1.35,302.9,33.49
2016-11-30,1.24,297.9,27.03
2016-12-31,1.28,299.7,29.38
2017-01-31,1.11,292.1,20.25
2017-02-28,0.9,286.2,14.18
2017-03-31,1.35,302.9,33.6
2017-04-30,1.27,299.5,29.07
2017-05-31,1.46,308.6,41.5
2017-06-30,1.33,302.2,32.58
2017-07-31,1.21,296.4,25.19
2017-08-31,1.31,301.0,30.97
2017-09-30,0.91,286.4,14.38
2017-10-31,0.94,286.8,14.77
2017-11-30,1.33,301.9,32.18
2017-12-31,1.23,297.1,26.09
2018-01-31,1.22,296.8,25.77
2018-02-28,1.15,293.3,21.56
2018-03-31,1.44,307.8,40.43
2018-04-30,1.21,296.4,25.28
2018-05-31,1.2,295.8,24.47
2018-06-30,1.15,293.2,21.52
2018-07-31,1.09,291.4,19.5
2018-08-31,1.04,289.5,17.4
2018-09-30,1.02,288.8,16.74
2018-10-31,1.09,291.2,19.24
2018-11-30,1.4,305.3,36.9
2018-12-31,1.2,295.9,24.59
2019-01-31,1.29,300.2,29.98
2019-02-28,1.38,304.4,35.67
2019-03-31,1.55,315.1,51.42
2019-04-30,1.61,319.5,58.33
2019-05-31,1.44,307.5,39.95
2019-06-30,1.53,313.2,48.4
2019-07-31,1.36,303.2,34.02
2019-08-31,1.18,295.3,23.9
2019-09-30,1.37,304.0,35.03
2019-10-31,1.34,302.5,33.02
2019-11-30,1.34,302.6,33.13
2019-12-31,1.32,301.6,31.86
2020-01-31,1.43,307.1,39.35
2020-02-29,1.54,313.8,49.41
2020-03-31,1.68,323.6,65.09
2020-04-30,1.38,304.6,35.86
2020-05-31,1.29,300.2,30.04
2020-06-30,1.24,297.7,26.84
2020-07-31,1.19,295.4,24.09
2020-08-31,1.14,292.9,21.14
2020-09-30,1.07,290.5,18.44
2020-10-31,1.41,306.1,38.0
2020-11-30,1.31,301.0,31.07
2020-12-31,1.39,305.2,36.77
2021-01-31,1.48,309.7,43.24
2021-02-28,1.43,307.4,39.77
2021-03-31,1.53,312.9,47.97
2021-04-30,1.6,319.1,57.63
2021-05-31,1.42,306.7,38.8
2021-06-30,1.32,301.3,31.49
2021-07-31,1.51,311.8,46.35
2021-08-31,1.16,293.8,22.18
2021-09-30,1.37,304.1,35.22
2021-10-31,1.3,300.7,30.71
2021-11-30,1.36,303.4,34.29
2021-12-31,1.33,302.1,32.44
2022-01-31,1.43,307.1,39.47
2022-02-28,1.31,301.1,31.17
2022-03-31,1.6,319.1,57.62
2022-04-30,1.61,319.3,57.94
2022-05-31,0.95,287.0,14.91
2022-06-30,1.19,295.4,24.04
2022-07-31,1.42,306.8,38.92
2022-08-31,1.46,308.6,41.56
2022-09-30,1.45,308.2,41.05
2022-10-31,1.24,297.8,26.99
2022-11-30,1.32,301.4,31.54
2022-12-31,1.34,302.3,32.76
2023-01-31,1.39,305.0,36.44
2023-02-28,1.43,307.4,39.77
2023-03-31,1.44,307.5,40.01
2023-04-30,1.54,314.4,50.24
2023-05-31,1.46,308.5,41.43
2023-06-30,1.22,296.8,25.77
2023-07-31,1.42,306.8,38.98
2023-08-31,1.24,297.9,27.08
2023-09-30,1.44,307.4,39.83
2023-10-31,1.29,300.3,30.13
2023-11-30,1.26,299.0,28.4
2023-12-31,1.29,300.4,30.22
2024-01-31,1.31,300.9,30.93
2024-02-29,1.34,302.3,32.81
2024-03-31,1.42,306.8,38.98
2024-04-30,1.5,311.4,45.66
2024-05-31,1.58,318.0,55.93
2024-06-30,1.25,298.0,27.26
2024-07-31,0.91,286.4,14.35
2024-08-31,1.2,296.0,24.8
2024-09-30,1.19,295.3,23.93
2024-10-31,1.28,299.7,29.33
2024-11-30,1.26,299.0,28.46
2024-12-31,1.39,305.1,36.63
2025-01-31,1.36,303.2,33.97
2025-02-28,1.37,304.0,35.03
2025-03-31,1.42,306.7,38.8
2025-04-30,1.27,299.3,28.82
2025-05-31,1.47,309.4,42.73
