Time,area_km2,elevation_m,changed_storage_mcm
2007-01-31,6.2,605.8,167.68
2007-02-28,7.57,615.0,231.03
2007-03-31,8.94,624.7,310.77
2007-04-30,11.66,651.0,582.38
2007-05-31,9.13,626.3,325.87
2007-06-30,6.61,608.5,184.71
2007-07-31,7.31,613.3,218.16
2007-08-31,8.02,618.1,254.91
2007-09-30,6.59,608.3,183.84
2007-10-31,8.18,619.2,264.29
2007-11-30,6.84,610.2,196.0
2007-12-31,6.8,609.8,193.61
2008-01-31,6.75,609.4,191.14
2008-02-29,6.7,609.1,188.67
2008-03-31,7.21,612.6,213.19
2008-04-30,9.23,627.1,333.02
2008-05-31,7.98,617.8,252.36
2008-06-30,8.24,619.6,267.58
2008-07-31,8.49,621.4,282.71
2008-08-31,8.75,623.2,297.96
2008-09-30,10.07,635.0,409.44
2008-10-31,9.28,627.5,336.56
2008-11-30,10.82,643.7,500.31
2008-12-31,10.46,640.3,463.98
2009-01-31,8.65,622.6,292.24
2009-02-28,9.68,631.1,371.03
2009-03-31,12.03,654.3,620.52
2009-04-30,7.38,613.7,221.47
2009-05-31,7.06,611.7,206.6
2009-06-30,6.75,609.4,190.96
2009-07-31,8.42,620.9,278.31
2009-08-31,10.09,635.4,412.87
2009-09-30,9.34,628.0,341.23
2009-10-31,8.93,624.6,310.14
2009-11-30,8.87,624.1,305.9
2009-12-31,8.94,624.7,310.9
2010-01-31,9.15,626.5,327.24
2010-02-28,8.66,622.6,292.67
2010-03-31,7.77,616.3,240.79
2010-04-30,8.98,625.0,314.09
2010-05-31,8.45,621.1,279.88
2010-06-30,8.15,619.0,262.62
2010-07-31,7.85,616.8,244.81
2010-08-31,7.55,614.9,229.85
2010-09-30,7.45,614.2,224.86
2010-10-31,9.31,627.8,339.05
2010-11-30,11.17,646.8,533.97
2010-12-31,10.38,639.3,453.03
2011-01-31,10.62,642.0,481.91
2011-02-28,10.85,644.0,503.57
2011-03-31,10.99,645.3,516.95
2011-04-30,10.15,636.1,420.72
2011-05-31,6.31,606.6,172.34
2011-06-30,6.37,606.9,174.77
2011-07-31,6.43,607.3,177.3
2011-08-31,6.49,607.7,179.84
2011-09-30,8.06,618.4,257.52
2011-10-31,9.64,630.7,366.88
2011-11-30,11.21,647.2,538.29
2011-12-31,10.14,636.0,419.05
2012-01-31,9.07,625.8,321.03
2012-02-29,10.54,641.3,474.47
2012-03-31,8.39,620.7,276.73
2012-04-30,7.96,617.6,250.96
2012-05-31,8.79,623.5,300.45
2012-06-30,8.84,623.9,303.61
2012-07-31,8.89,624.3,307.16
2012-08-31,8.94,624.7,310.96
2012-09-30,8.99,625.1,314.86
2012-10-31,8.9,624.3,307.77
2012-11-30,7.12,612.0,209.11
2012-12-31,8.53,621.7,285.01
2013-01-31,6.16,605.5,165.81
2013-02-28,9.03,625.4,317.86
2013-03-31,10.28,637.7,437.17
2013-04-30,10.31,638.2,442.28
2013-05-31,7.83,616.7,243.81
2013-06-30,6.37,606.9,174.74
2013-07-31,6.81,609.9,194.16
2013-08-31,7.24,612.8,214.69
2013-09-30,9.09,626.0,322.84
2013-10-31,10.71,642.9,490.73
2013-11-30,10.74,643.1,493.73
2013-12-31,10.65,642.3,484.54
2014-01-31,10.55,641.4,475.44
2014-02-28,10.82,643.8,500.81
2014-03-31,9.82,632.4,383.71
2014-04-30,7.49,614.5,227.18
2014-05-31,8.27,619.9,269.5
2014-06-30,6.03,604.5,159.89
2014-07-31,7.17,612.3,211.35
2014-08-31,9.45,629.0,350.23
2014-09-30,7.49,614.5,227.22
2014-10-31,11.02,645.5,519.29
2014-11-30,9.87,632.9,388.85
2014-12-31,9.47,629.2,352.32
2015-01-31,7.41,613.9,222.89
2015-02-28,9.89,633.1,390.57
2015-03-31,10.11,635.5,414.67
2015-04-30,8.66,622.6,292.85
2015-05-31,7.18,612.5,212.15
2015-06-30,6.34,606.8,173.56
2015-07-31,7.16,612.3,211.23
2015-08-31,9.39,628.5,345.69
2015-09-30,10.05,634.8,407.35
2015-10-31,10.71,642.8,490.1
2015-11-30,6.63,608.6,185.47
2015-12-31,10.47,640.5,466.24
2016-01-31,10.12,635.7,416.8
2016-02-29,9.78,632.0,379.08
2016-03-31,8.29,620.0,270.55
2016-04-30,8.78,623.4,299.66
2016-05-31,7.93,617.4,249.64
2016-06-30,6.85,610.2,196.28
2016-07-31,8.71,622.9,295.67
2016-08-31,10.57,641.6,477.82
2016-09-30,10.27,637.6,436.13
2016-10-31,9.8,632.1,380.73
2016-11-30,9.3,627.7,338.24
2016-12-31,9.68,631.1,371.11
