Time,area_km2,elevation_m,changed_storage_mcm
1990-01-31,38.44,247.4,192.28
1990-02-28,33.23,246.0,143.25
1990-03-31,28.02,244.7,101.32
1990-04-30,17.5,241.9,38.26
1990-05-31,25.71,244.1,85.0
1990-06-30,22.41,243.2,64.12
1990-07-31,19.11,242.3,46.04
1990-08-31,15.81,241.5,30.83
1990-09-30,16.0,241.5,31.68
1990-10-31,16.19,241.6,32.52
1990-11-30,19.66,242.5,48.79
1990-12-31,18.94,242.3,45.2
1991-01-31,18.22,242.1,41.7
1991-02-28,47.64,249.8,296.43
1991-03-31,57.45,252.4,432.02
1991-04-30,56.89,252.3,423.74
1991-05-31,59.82,253.0,468.64
1991-06-30,51.28,250.8,343.93
1991-07-31,42.75,248.6,238.36
1991-08-31,34.21,246.3,151.96
1991-09-30,25.68,244.1,84.74
1991-10-31,17.14,241.8,36.66
1991-11-30,21.9,243.1,61.13
1991-12-31,20.92,242.8,55.59
1992-01-31,19.94,242.6,50.3
1992-02-29,18.95,242.3,45.28
1992-03-31,67.98,255.2,605.8
1992-04-30,67.78,255.1,602.17
1992-05-31,52.46,251.1,359.98
1992-06-30,62.63,253.8,513.91
1992-07-31,37.86,247.3,186.56
1992-08-31,79.09,258.1,820.66
1992-09-30,60.63,253.3,481.49
1992-10-31,42.17,248.4,231.86
1992-11-30,23.71,243.5,71.98
1992-12-31,17.26,241.8,37.17
1993-01-31,25.5,244.0,83.55
1993-02-28,19.61,242.5,48.55
1993-03-31,31.55,245.6,128.97
1993-04-30,43.49,248.7,246.82
1993-05-31,39.26,247.6,200.78
1993-06-30,35.03,246.5,159.41
1993-07-31,30.8,245.4,122.73
1993-08-31,26.57,244.3,90.88
1993-09-30,22.34,243.2,63.7
1993-10-31,18.11,242.1,41.17
1993-11-30,13.88,241.0,23.3
1993-12-31,14.53,241.1,25.82
1994-01-31,12.86,240.7,19.81
1994-02-28,69.32,255.5,629.89
1994-03-31,74.28,256.8,723.61
1994-04-30,32.33,245.8,135.5
1994-05-31,30.2,245.3,118.0
1994-06-30,28.07,244.7,101.68
1994-07-31,17.2,241.8,36.92
1994-08-31,38.16,247.3,189.53
1994-09-30,59.13,252.9,457.73
1994-10-31,67.96,255.2,605.51
1994-11-30,76.8,257.5,773.73
1994-12-31,75.8,257.2,753.57
1995-01-31,74.83,257.0,734.37
1995-02-28,69.79,255.7,638.54
1995-03-31,58.44,252.7,447.13
1995-04-30,51.85,250.9,351.45
1995-05-31,45.05,249.2,265.0
1995-06-30,38.26,247.4,190.52
1995-07-31,45.74,249.3,273.16
1995-08-31,53.22,251.3,370.52
1995-09-30,60.7,253.3,482.58
1995-10-31,68.18,255.2,609.35
1995-11-30,75.66,257.2,750.83
1995-12-31,97.64,263.0,1251.78
1996-01-31,94.44,262.1,1170.95
1996-02-29,89.07,260.7,1041.36
1996-03-31,83.7,259.3,919.33
1996-04-30,58.79,252.8,452.65
1996-05-31,16.78,241.7,35.11
1996-06-30,28.91,244.9,107.87
1996-07-31,41.03,248.1,219.49
1996-08-31,53.65,251.4,376.44
1996-09-30,66.26,254.7,575.43
1996-10-31,78.87,258.1,816.14
1996-11-30,87.63,260.4,1007.81
1996-12-31,85.99,259.9,970.37
1997-01-31,84.26,259.5,931.55
1997-02-28,75.46,257.2,746.98
1997-03-31,63.34,254.0,525.57
1997-04-30,41.12,248.1,220.42
1997-05-31,38.25,247.4,190.38
1997-06-30,34.36,246.3,153.3
1997-07-31,30.48,245.3,120.19
1997-08-31,26.6,244.3,91.05
1997-09-30,22.71,243.3,65.88
1997-10-31,41.67,248.3,226.36
1997-11-30,45.06,249.2,265.1
1997-12-31,42.89,248.6,240.02
1998-01-31,41.33,248.2,222.67
1998-02-28,35.96,246.8,168.09
1998-03-31,38.76,247.5,195.58
1998-04-30,58.82,252.8,453.02
1998-05-31,81.04,258.6,861.8
1998-06-30,43.53,248.8,247.26
1998-07-31,23.64,243.5,71.48
1998-08-31,19.14,242.3,46.19
1998-09-30,25.87,244.1,86.08
1998-10-31,25.71,244.1,84.99
1998-11-30,30.68,245.4,121.77
1998-12-31,45.1,249.2,265.59
1999-01-31,59.53,253.0,463.98
1999-02-28,102.1,264.4,1396.1
1999-03-31,68.31,255.3,611.62
1999-04-30,41.47,248.2,224.18
1999-05-31,20.81,242.8,55.01
1999-06-30,48.32,250.0,305.11
1999-07-31,35.25,246.6,161.42
1999-08-31,22.17,243.1,62.69
1999-09-30,27.46,244.5,97.18
1999-10-31,20.38,242.7,52.69
1999-11-30,46.82,249.6,286.35
1999-12-31,54.41,251.6,387.43
2000-01-31,52.71,251.2,363.5
2000-02-29,48.04,249.9,301.46
2000-03-31,41.46,248.2,224.16
2000-04-30,35.24,246.6,161.35
2000-05-31,32.75,245.9,138.97
2000-06-30,36.56,246.9,173.75
2000-07-31,44.09,248.9,253.56
2000-08-31,46.32,249.5,280.2
2000-09-30,58.27,252.6,444.58
2000-10-31,70.22,255.8,646.41
2000-11-30,78.32,257.9,804.54
2000-12-31,88.16,260.5,1020.21
2001-01-31,86.7,260.1,986.61
2001-02-28,78.57,258.0,809.78
2001-03-31,69.26,255.5,628.93
2001-04-30,60.86,253.3,485.05
2001-05-31,52.03,251.0,353.99
2001-06-30,38.77,247.5,195.67
2001-07-31,36.91,247.0,177.19
2001-08-31,35.05,246.5,159.62
2001-09-30,69.69,255.6,636.82
2001-10-31,42.44,248.5,234.84
2001-11-30,86.12,260.0,973.25
2001-12-31,86.87,260.2,990.38
2002-01-31,86.91,260.2,991.37
2002-02-28,86.95,260.2,992.37
2002-03-31,75.24,257.1,742.51
2002-04-30,54.74,251.7,392.09
2002-05-31,48.09,250.0,302.11
2002-06-30,57.41,252.4,431.39
2002-07-31,66.73,254.9,583.55
2002-08-31,76.05,257.3,758.53
2002-09-30,85.36,259.8,956.35
2002-10-31,94.68,262.2,1176.99
2002-11-30,87.0,260.2,993.44
2002-12-31,90.91,261.2,1084.95
2003-01-31,99.78,263.6,1307.41
2003-02-28,99.05,263.4,1288.14
2003-03-31,82.39,259.0,890.64
2003-04-30,65.73,254.6,566.21
2003-05-31,50.26,250.5,330.28
2003-06-30,34.8,246.5,157.24
2003-07-31,19.34,242.4,47.14
2003-08-31,46.82,249.6,286.3
2003-09-30,21.81,243.0,60.61
2003-10-31,56.45,252.2,417.19
2003-11-30,61.3,253.4,492.1
2003-12-31,51.45,250.8,346.13
2004-01-31,59.39,252.9,461.81
2004-02-29,31.81,245.7,131.11
2004-03-31,47.0,249.7,288.61
2004-04-30,78.85,258.0,815.68
2004-05-31,46.6,249.6,283.59
2004-06-30,14.35,241.1,25.11
2004-07-31,20.2,242.6,51.72
2004-08-31,26.06,244.2,87.35
2004-09-30,31.91,245.7,131.99
2004-10-31,37.94,247.3,187.39
2004-11-30,37.72,247.2,185.14
2004-12-31,35.74,246.7,166.08
2005-01-31,33.57,246.1,146.22
2005-02-28,26.9,244.4,93.18
2005-03-31,22.35,243.2,63.78
2005-04-30,17.63,241.9,38.81
2005-05-31,40.89,248.1,217.89
2005-06-30,42.4,248.5,234.35
2005-07-31,17.68,242.0,39.06
2005-08-31,32.48,245.9,136.74
2005-09-30,47.28,249.7,292.08
2005-10-31,62.09,253.6,505.02
2005-11-30,67.6,255.1,598.97
2005-12-31,69.07,255.5,625.39
2006-01-31,70.54,255.9,652.46
2006-02-28,64.45,254.3,544.26
2006-03-31,51.64,250.9,348.68
2006-04-30,44.06,248.9,253.33
2006-05-31,38.87,247.5,196.67
2006-06-30,42.96,248.6,240.77
2006-07-31,45.73,249.3,273.09
2006-08-31,48.51,250.1,307.5
2006-09-30,51.28,250.8,343.91
2006-10-31,96.8,262.8,1230.21
2006-11-30,101.67,264.2,1371.39
2006-12-31,101.14,263.9,1343.11
2007-01-31,98.39,263.2,1271.02
2007-02-28,90.66,261.2,1078.96
2007-03-31,81.98,258.9,881.82
2007-04-30,64.57,254.3,546.35
2007-05-31,17.86,242.0,39.97
2007-06-30,59.1,252.9,457.31
2007-07-31,17.41,241.9,37.86
2007-08-31,29.41,245.0,111.76
2007-09-30,41.4,248.2,223.49
2007-10-31,98.06,263.1,1262.53
2007-11-30,93.15,261.8,1139.0
2007-12-31,88.23,260.5,1021.82
2008-01-31,71.99,256.2,679.53
2008-02-29,61.75,253.5,499.44
2008-03-31,45.91,249.4,275.17
2008-04-30,28.39,244.8,104.03
2008-05-31,47.44,249.8,294.0
2008-06-30,5.62,238.4,0.0
2008-07-31,16.07,241.5,32.0
2008-08-31,26.52,244.3,90.54
2008-09-30,36.97,247.0,177.76
2008-10-31,36.71,247.0,175.21
2008-11-30,61.2,253.4,490.55
2008-12-31,62.68,253.8,514.67
2009-01-31,59.04,252.8,456.36
2009-02-28,45.7,249.3,272.68
2009-03-31,36.31,246.9,171.41
2009-04-30,48.61,250.1,308.81
2009-05-31,47.49,249.8,294.59
2009-06-30,32.53,245.9,137.19
2009-07-31,17.58,241.9,38.58
2009-08-31,32.5,245.9,136.93
2009-09-30,39.4,247.7,202.16
2009-10-31,46.29,249.5,279.76
2009-11-30,56.26,252.1,414.3
2009-12-31,54.59,251.7,389.91
2010-01-31,36.84,247.0,176.51
2010-02-28,30.49,245.3,120.25
2010-03-31,34.47,246.4,154.23
2010-04-30,67.02,254.9,588.71
2010-05-31,53.89,251.5,379.9
2010-06-30,46.63,249.6,283.97
2010-07-31,39.37,247.7,201.87
2010-08-31,32.11,245.8,133.61
2010-09-30,24.84,243.8,79.18
2010-10-31,33.78,246.2,148.1
2010-11-30,49.65,250.4,322.2
2010-12-31,42.65,248.5,237.24
2011-01-31,37.81,247.3,186.09
2011-02-28,22.59,243.2,65.17
2011-03-31,30.2,245.2,117.96
2011-04-30,36.36,246.9,171.85
2011-05-31,22.43,243.2,64.23
2011-06-30,29.96,245.2,116.09
2011-07-31,37.48,247.2,182.84
2011-08-31,56.75,252.2,421.55
2011-09-30,76.01,257.3,757.83
2011-10-31,95.27,262.4,1191.68
2011-11-30,97.27,262.9,1242.22
2011-12-31,98.01,263.1,1261.33
2012-01-31,98.75,263.3,1280.52
2012-02-29,73.07,256.5,700.2
2012-03-31,47.39,249.8,293.39
2012-04-30,30.06,245.2,116.89
2012-05-31,26.61,244.3,91.17
2012-06-30,23.17,243.4,68.55
2012-07-31,19.72,242.5,49.15
2012-08-31,26.74,244.3,92.04
2012-09-30,33.76,246.2,147.91
2012-10-31,40.77,248.0,216.65
2012-11-30,42.72,248.5,238.05
2012-12-31,37.89,247.3,186.88
2013-01-31,33.56,246.1,146.21
2013-02-28,21.49,243.0,58.69
2013-03-31,74.52,256.9,728.22
2013-04-30,70.9,256.0,658.98
2013-05-31,62.12,253.6,505.61
2013-06-30,50.94,250.7,339.32
2013-07-31,39.76,247.8,205.92
2013-08-31,28.57,244.8,105.4
2013-09-30,17.39,241.9,37.76
2013-10-31,19.76,242.5,49.34
2013-11-30,29.34,245.0,111.25
2013-12-31,29.0,244.9,108.53
2014-01-31,22.29,243.2,63.4
2014-02-28,19.16,242.3,46.31
2014-03-31,57.66,252.5,435.13
2014-04-30,67.08,254.9,589.65
2014-05-31,43.58,248.8,247.76
2014-06-30,36.9,247.0,177.12
2014-07-31,30.23,245.3,118.27
2014-08-31,23.56,243.5,71.03
2014-09-30,16.89,241.8,35.59
2014-10-31,9.97,239.9,11.02
