Time,area_km2,elevation_m,changed_storage_mcm
1990-01-31,7.59,1036.5,64.88
1990-02-28,6.76,1030.7,46.72
1990-03-31,4.5,1019.0,16.79
1990-04-30,4.58,1019.2,17.21
1990-05-31,4.65,1019.4,17.64
1990-06-30,4.78,1019.8,18.38
1990-07-31,4.91,1020.1,19.2
1990-08-31,5.13,1020.9,20.89
1990-09-30,6.61,1029.7,43.84
1990-10-31,8.09,1040.2,77.67
1990-11-30,7.78,1037.8,69.46
1990-12-31,8.53,1044.1,92.18
1991-01-31,8.22,1041.2,81.34
1991-02-28,7.68,1037.0,66.78
1991-03-31,7.15,1033.4,54.85
1991-04-30,6.61,1029.7,43.84
1991-05-31,5.58,1023.2,26.4
1991-06-30,4.77,1019.7,18.31
1991-07-31,3.96,1017.7,14.42
1991-08-31,5.36,1022.1,23.55
1991-09-30,6.76,1030.7,46.71
1991-10-31,8.12,1040.4,78.56
1991-11-30,8.13,1040.5,78.78
1991-12-31,7.17,1033.5,55.37
1992-01-31,6.21,1026.9,35.93
1992-02-29,5.97,1025.5,32.21
1992-03-31,4.31,1018.6,15.98
1992-04-30,4.62,1019.3,17.48
1992-05-31,4.93,1020.2,19.38
1992-06-30,5.53,1023.0,25.73
1992-07-31,6.13,1026.5,34.78
1992-08-31,6.73,1030.5,46.18
1992-09-30,7.33,1034.6,58.71
1992-10-31,7.67,1037.0,66.59
1992-11-30,7.95,1039.0,73.51
1992-12-31,8.53,1044.1,92.18
1993-01-31,8.33,1042.2,85.11
1993-02-28,8.13,1040.4,78.7
1993-03-31,7.96,1039.1,73.96
1993-04-30,7.74,1037.5,68.45
1993-05-31,6.14,1026.5,34.86
1993-06-30,5.21,1021.3,21.75
1993-07-31,4.29,1018.5,15.88
1993-08-31,4.9,1020.1,19.14
1993-09-30,5.52,1022.9,25.52
1993-10-31,6.77,1030.7,46.83
1993-11-30,8.02,1039.6,75.63
1993-12-31,8.29,1041.9,84.05
1994-01-31,8.57,1044.4,93.3
1994-02-28,8.5,1043.7,90.63
1994-03-31,7.62,1036.6,65.49
1994-04-30,6.11,1026.3,34.33
1994-05-31,5.54,1023.0,25.8
1994-06-30,5.93,1025.3,31.64
1994-07-31,6.33,1027.9,38.61
1994-08-31,4.93,1020.2,19.34
1994-09-30,5.98,1025.6,32.31
1994-10-31,6.88,1031.6,49.33
1994-11-30,7.47,1035.6,62.08
1994-12-31,8.06,1039.9,76.73
1995-01-31,7.99,1039.3,74.73
1995-02-28,6.73,1030.5,46.15
