Time,area_km2,elevation_m,changed_storage_mcm
2020-01-31,1.38,76.3,8.62
2020-02-29,2.05,81.2,17.05
2020-03-31,2.61,86.2,28.9
2020-04-30,2.1,81.6,17.85
2020-05-31,3.04,92.1,45.63
2020-06-30,2.65,86.8,30.45
2020-07-31,2.48,85.0,25.68
2020-08-31,3.04,92.2,45.94
2020-09-30,2.58,85.9,28.01
2020-10-31,2.09,81.5,17.65
2020-11-30,2.42,84.4,24.29
2020-12-31,1.77,79.0,12.87
2021-01-31,2.16,82.0,18.75
2021-02-28,2.05,81.1,16.97
2021-03-31,1.79,79.1,13.16
2021-04-30,1.96,80.5,15.65
2021-05-31,1.84,79.5,13.85
2021-06-30,2.6,86.2,28.88
2021-07-31,3.04,92.1,45.63
2021-08-31,2.33,83.5,22.2
2021-09-30,1.73,78.7,12.37
2021-10-31,2.2,82.3,19.54
2021-11-30,2.21,82.4,19.76
2021-12-31,2.01,80.8,16.34
2022-01-31,1.66,78.2,11.59
2022-02-28,1.34,76.0,8.23
2022-03-31,1.39,76.3,8.72
2022-04-30,2.3,83.3,21.62
2022-05-31,1.99,80.7,16.11
2022-06-30,2.94,90.7,41.29
2022-07-31,2.77,88.4,34.66
2022-08-31,3.24,95.7,56.83
2022-09-30,3.25,96.1,57.98
2022-10-31,2.61,86.3,28.99
2022-11-30,2.55,85.7,27.47
2022-12-31,2.23,82.6,20.16
2023-01-31,2.0,80.8,16.28
2023-02-28,2.12,81.7,18.16
2023-03-31,2.32,83.4,21.97
2023-04-30,2.22,82.5,19.82
2023-05-31,2.05,81.1,17.0
2023-06-30,2.48,85.0,25.72
2023-07-31,2.73,87.8,32.98
2023-08-31,3.15,94.0,51.28
2023-09-30,2.75,88.1,34.0
2023-10-31,2.65,86.8,30.31
2023-11-30,2.27,83.0,20.96
2023-12-31,2.42,84.3,24.17
2024-01-31,2.96,90.9,42.06
2024-02-29,1.72,78.6,12.27
2024-03-31,1.45,76.8,9.31
2024-04-30,2.35,83.7,22.63
2024-05-31,1.67,78.3,11.72
2024-06-30,1.75,78.8,12.63
2024-07-31,3.24,95.7,56.84
2024-08-31,3.32,97.7,63.4
2024-09-30,3.33,97.8,63.63
2024-10-31,3.23,95.6,56.43
2024-11-30,2.31,83.3,21.79
2024-12-31,2.07,81.3,17.26
2025-01-31,2.46,84.8,25.23
2025-02-28,1.49,77.0,9.71
2025-03-31,2.49,85.1,25.93
2025-04-30,1.91,80.1,14.91
2025-05-31,1.52,77.3,10.11
