Time,area_km2,elevation_m,changed_storage_mcm
2006-01-31,2.53,303.0,58.11
2006-02-28,2.53,303.0,58.11
2006-03-31,2.53,303.0,58.11
2006-04-30,2.63,304.9,62.9
2006-05-31,2.71,306.6,67.62
2006-06-30,2.83,308.8,73.69
2006-07-31,2.85,309.3,75.11
2006-08-31,2.88,309.9,76.64
2006-09-30,2.92,310.9,79.55
2006-10-31,3.05,313.9,88.67
2006-11-30,2.89,310.1,77.28
2006-12-31,2.81,308.4,72.36
2007-01-31,2.78,307.8,70.89
2007-02-28,2.82,308.6,73.15
2007-03-31,2.93,311.1,80.17
2007-04-30,2.79,308.0,71.21
2007-05-31,2.91,310.5,78.47
2007-06-30,2.97,312.0,83.01
2007-07-31,3.19,316.7,97.45
2007-08-31,3.2,317.0,98.39
2007-09-30,3.07,314.3,89.76
2007-10-31,2.99,312.4,84.1
2007-11-30,2.91,310.5,78.56
2007-12-31,2.82,308.7,73.24
2008-01-31,2.87,309.7,76.22
2008-02-29,2.96,311.7,81.87
2008-03-31,3.07,314.2,89.46
2008-04-30,3.07,314.3,89.91
2008-05-31,2.79,307.9,71.09
2008-06-30,3.05,313.9,88.47
2008-07-31,2.96,311.6,81.81
2008-08-31,3.1,314.8,91.49
2008-09-30,2.91,310.7,78.96
2008-10-31,2.92,310.8,79.26
2008-11-30,2.92,310.9,79.55
2008-12-31,2.99,312.5,84.43
2009-01-31,3.11,314.9,91.83
2009-02-28,3.0,312.7,84.91
2009-03-31,3.12,315.2,92.75
2009-04-30,3.01,312.8,85.38
2009-05-31,3.09,314.7,91.04
2009-06-30,2.84,309.0,74.13
2009-07-31,2.94,311.2,80.51
2009-08-31,3.03,313.5,87.26
2009-09-30,3.01,312.8,85.38
2009-10-31,3.42,324.4,122.75
2009-11-30,3.56,327.8,134.72
2009-12-31,3.33,320.7,110.52
2010-01-31,3.2,317.0,98.46
2010-02-28,3.2,317.0,98.32
2010-03-31,2.98,312.2,83.48
2010-04-30,3.02,313.2,86.52
2010-05-31,3.07,314.2,89.56
2010-06-30,3.14,315.6,93.87
2010-07-31,3.32,320.5,109.69
2010-08-31,2.84,309.1,74.36
2010-09-30,3.05,313.8,88.28
2010-10-31,2.99,312.5,84.43
2010-11-30,3.08,314.5,90.35
2010-12-31,3.17,316.3,96.11
2011-01-31,3.11,315.0,91.88
2011-02-28,3.05,313.9,88.6
2011-03-31,3.08,314.5,90.3
2011-04-30,3.05,313.9,88.54
2011-05-31,2.67,305.8,65.33
2011-06-30,3.14,315.5,93.69
2011-07-31,2.99,312.4,84.02
2011-08-31,3.15,315.8,94.52
2011-09-30,3.24,318.1,101.72
2011-10-31,3.33,321.0,111.46
2011-11-30,3.14,315.6,93.93
2011-12-31,2.76,307.4,69.79
2012-01-31,2.75,307.4,69.57
2012-02-29,2.75,307.3,69.35
2012-03-31,2.82,308.5,72.78
2012-04-30,2.88,310.1,77.17
2012-05-31,2.83,308.9,73.78
2012-06-30,2.8,308.1,71.6
2012-07-31,2.76,307.4,69.75
2012-08-31,2.82,308.5,72.74
2012-09-30,2.87,309.8,76.48
2012-10-31,2.93,311.1,80.23
2012-11-30,2.79,308.0,71.38
2012-12-31,2.88,309.9,76.83
2013-01-31,2.57,303.7,59.8
2013-02-28,2.89,310.2,77.71
2013-03-31,2.8,308.3,72.12
2013-04-30,2.82,308.6,73.15
2013-05-31,2.86,309.4,75.2
2013-06-30,3.03,313.3,86.81
2013-07-31,3.01,312.9,85.68
2013-08-31,3.12,315.2,92.71
2013-09-30,3.23,317.8,100.81
2013-10-31,3.34,321.2,112.08
2013-11-30,3.17,316.2,95.91
2013-12-31,3.18,316.5,96.65
2014-01-31,3.12,315.3,92.81
2014-02-28,3.08,314.4,90.25
2014-03-31,3.09,314.5,90.6
2014-04-30,3.36,321.9,114.54
2014-05-31,3.08,314.4,90.06
2014-06-30,3.08,314.4,90.25
2014-07-31,3.08,314.5,90.45
2014-08-31,3.09,314.6,90.65
2014-09-30,3.16,316.0,95.17
2014-10-31,3.14,315.7,94.34
2014-11-30,2.99,312.4,84.14
2014-12-31,3.06,314.1,89.21
2015-01-31,3.14,315.7,94.1
2015-02-28,3.03,313.3,86.68
2015-03-31,3.14,315.6,93.75
2015-04-30,2.99,312.5,84.31
2015-05-31,2.97,311.9,82.68
2015-06-30,2.94,311.4,81.02
2015-07-31,2.83,308.7,73.39
2015-08-31,2.99,312.4,84.14
2015-09-30,3.17,316.3,95.98
2015-10-31,3.23,317.8,100.91
2015-11-30,3.14,315.7,94.34
2015-12-31,3.11,315.0,91.88
2016-01-31,3.06,314.1,89.36
2016-02-29,3.05,313.8,88.22
