Time,area_km2,elevation_m,changed_storage_mcm
1990-01-31,16.14,270.3,127.22
1990-02-28,14.81,269.1,109.23
1990-03-31,13.47,267.8,91.23
1990-04-30,12.82,267.2,82.41
1990-05-31,11.34,265.5,62.52
1990-06-30,17.66,271.5,147.67
1990-07-31,23.97,275.6,232.82
1990-08-31,15.45,269.7,117.98
1990-09-30,6.94,258.8,2.52
1990-10-31,18.67,272.2,161.28
1990-11-30,22.62,274.8,214.57
1990-12-31,26.57,277.0,267.86
1991-01-31,25.88,276.6,258.57
1991-02-28,25.19,276.3,249.28
1991-03-31,23.33,275.2,224.16
1991-04-30,22.33,274.6,210.74
1991-05-31,21.34,274.0,197.33
1991-06-30,21.49,274.1,199.42
1991-07-31,21.65,274.2,201.51
1991-08-31,20.47,273.5,185.6
1991-09-30,19.29,272.7,169.69
1991-10-31,21.78,274.3,203.26
1991-11-30,26.98,277.2,273.38
1991-12-31,25.77,276.6,257.05
1992-01-31,24.56,275.9,240.72
1992-02-29,22.58,274.8,214.11
1992-03-31,22.7,274.9,215.71
1992-04-30,20.5,273.5,186.03
1992-05-31,19.97,273.1,178.83
1992-06-30,19.43,272.8,171.64
1992-07-31,21.23,274.0,195.86
1992-08-31,26.2,276.8,262.84
1992-09-30,31.16,279.1,329.81
1992-10-31,36.13,281.4,407.44
1992-11-30,12.61,266.9,79.67
1992-12-31,10.59,264.6,52.43
1993-01-31,10.38,264.3,49.5
1993-02-28,9.24,262.7,34.13
1993-03-31,8.74,262.0,27.51
1993-04-30,9.4,263.0,36.3
1993-05-31,19.9,273.1,177.9
1993-06-30,8.64,261.8,26.04
1993-07-31,6.87,258.4,0.0
1993-08-31,15.49,269.7,118.49
1993-09-30,17.39,271.3,144.06
1993-10-31,19.29,272.7,169.64
1993-11-30,17.61,271.4,147.09
1993-12-31,16.17,270.3,127.6
1994-01-31,15.57,269.8,119.59
1994-02-28,14.09,268.4,99.6
1994-03-31,12.76,267.1,81.7
1994-04-30,11.77,266.0,68.32
1994-05-31,15.06,269.3,112.64
1994-06-30,15.88,270.0,123.78
1994-07-31,16.71,270.7,134.92
1994-08-31,17.54,271.4,146.07
1994-09-30,18.36,272.0,157.21
1994-10-31,20.9,273.7,191.37
1994-11-30,18.76,272.3,162.5
1994-12-31,17.19,271.1,141.42
1995-01-31,16.84,270.8,136.62
1995-02-28,15.57,269.8,119.49
1995-03-31,18.69,272.2,161.67
1995-04-30,13.28,267.6,88.7
1995-05-31,13.69,268.0,94.24
1995-06-30,13.26,267.6,88.35
1995-07-31,13.97,268.3,97.9
1995-08-31,14.67,269.0,107.46
1995-09-30,19.36,272.7,170.7
1995-10-31,24.05,275.6,233.94
1995-11-30,23.67,275.4,228.83
1995-12-31,25.08,276.2,247.77
1996-01-31,26.48,276.9,266.71
1996-02-29,22.54,274.8,213.53
1996-03-31,25.1,276.2,248.06
1996-04-30,21.57,274.2,200.45
1996-05-31,26.05,276.7,260.89
1996-06-30,22.69,274.9,215.6
1996-07-31,25.85,276.6,258.2
1996-08-31,24.55,275.9,240.61
1996-09-30,26.38,276.9,265.32
1996-10-31,28.21,277.8,290.03
1996-11-30,26.59,277.0,268.15
1996-12-31,24.97,276.1,246.27
1997-01-31,30.62,278.9,322.45
1997-02-28,29.41,278.4,306.16
1997-03-31,30.19,278.7,316.75
1997-04-30,27.69,277.5,283.03
1997-05-31,23.96,275.6,232.64
1997-06-30,23.89,275.5,231.67
1997-07-31,22.0,274.4,206.26
1997-08-31,19.84,273.0,177.08
1997-09-30,17.67,271.5,147.9
1997-10-31,20.41,273.4,184.74
1997-11-30,22.15,274.5,208.24
1997-12-31,20.21,273.3,182.1
1998-01-31,20.78,273.7,189.79
1998-02-28,17.39,271.3,144.05
1998-03-31,17.55,271.4,146.3
1998-04-30,16.46,270.5,131.49
1998-05-31,34.18,280.4,370.52
1998-06-30,14.4,268.7,103.7
1998-07-31,13.79,268.1,95.57
1998-08-31,13.19,267.5,87.43
1998-09-30,12.59,266.9,79.3
1998-10-31,14.38,268.7,103.53
1998-11-30,16.18,270.3,127.76
1998-12-31,15.34,269.6,116.41
1999-01-31,13.41,267.8,90.37
1999-02-28,13.95,268.3,97.64
1999-03-31,12.37,266.7,76.43
1999-04-30,13.98,268.3,98.12
1999-05-31,15.59,269.8,119.81
1999-06-30,17.82,271.6,149.86
1999-07-31,18.17,271.9,154.56
1999-08-31,17.33,271.2,143.25
1999-09-30,17.29,271.2,142.74
1999-10-31,24.83,276.1,244.47
1999-11-30,27.01,277.2,273.74
1999-12-31,28.79,278.1,297.82
2000-01-31,28.94,278.1,299.89
2000-02-29,28.38,277.9,292.34
2000-03-31,27.1,277.2,274.98
2000-04-30,27.52,277.5,280.74
2000-05-31,27.49,277.4,280.35
2000-06-30,25.97,276.7,259.71
2000-07-31,24.44,275.9,239.08
2000-08-31,24.89,276.1,245.17
2000-09-30,25.65,276.5,255.48
2000-10-31,29.7,278.5,310.03
2000-11-30,30.42,278.8,319.81
2000-12-31,29.55,278.4,308.02
2001-01-31,30.43,278.8,319.98
2001-02-28,30.97,279.1,327.22
2001-03-31,29.73,278.5,310.45
2001-04-30,29.49,278.4,307.26
2001-05-31,28.93,278.1,299.71
2001-06-30,28.89,278.1,299.18
2001-07-31,23.75,275.5,229.9
2001-08-31,25.69,276.5,256.02
2001-09-30,23.97,275.6,232.75
2001-10-31,21.12,273.9,194.36
2001-11-30,20.36,273.4,184.17
2001-12-31,23.81,275.5,230.59
2002-01-31,23.05,275.1,220.41
2002-02-28,20.91,273.8,191.53
2002-03-31,20.97,273.8,192.31
2002-04-30,18.52,272.1,159.32
2002-05-31,18.37,272.0,157.24
2002-06-30,18.21,271.9,155.16
