Time,area_km2,elevation_m,changed_storage_mcm
2010-01-31,1.75,1536.5,37.42
2010-02-28,2.01,1540.9,45.73
2010-03-31,0.99,1518.9,12.98
2010-04-30,1.58,1532.8,31.32
2010-05-31,2.06,1542.6,49.08
2010-06-30,2.46,1551.2,68.18
2010-07-31,2.85,1557.9,86.17
2010-08-31,3.25,1565.5,109.3
2010-09-30,3.64,1571.5,129.71
2010-10-31,4.04,1578.2,155.63
2010-11-30,4.3,1583.4,177.25
2010-12-31,4.56,1588.6,200.52
2011-01-31,4.57,1588.8,201.15
2011-02-28,3.63,1571.3,129.16
2011-03-31,4.44,1586.6,191.38
2011-04-30,4.46,1587.0,193.33
2011-05-31,1.98,1540.5,44.83
2011-06-30,2.47,1551.3,68.59
2011-07-31,3.17,1563.8,103.94
2011-08-31,3.88,1575.7,145.93
2011-09-30,4.58,1588.9,202.03
2011-10-31,4.54,1588.2,198.56
2011-11-30,4.07,1578.6,157.14
2011-12-31,4.15,1579.7,161.66
2012-01-31,2.98,1560.8,94.52
2012-02-29,3.31,1566.6,112.74
2012-03-31,3.38,1567.8,117.03
2012-04-30,1.32,1525.4,20.42
2012-05-31,1.96,1540.0,43.9
2012-06-30,2.59,1553.3,73.58
2012-07-31,2.58,1553.1,72.96
2012-08-31,2.56,1552.7,72.14
2012-09-30,3.34,1567.1,114.39
2012-10-31,4.11,1579.2,159.75
2012-11-30,3.49,1569.1,121.41
2012-12-31,3.37,1567.8,116.74
2013-01-31,3.67,1571.9,131.27
2013-02-28,2.74,1556.0,80.86
2013-03-31,2.05,1542.1,48.11
2013-04-30,1.36,1526.2,21.53
2013-05-31,1.78,1537.1,38.39
2013-06-30,3.17,1563.8,103.95
2013-07-31,3.28,1566.0,110.73
2013-08-31,3.38,1567.9,117.14
2013-09-30,3.49,1569.1,121.33
2013-10-31,3.59,1570.7,127.15
2013-11-30,4.33,1583.9,179.77
2013-12-31,4.31,1583.5,177.78
2014-01-31,4.28,1583.0,175.9
2014-02-28,4.23,1581.6,169.76
2014-03-31,2.52,1552.1,70.4
2014-04-30,3.68,1572.0,131.7
2014-05-31,1.79,1537.2,38.67
2014-06-30,2.89,1558.9,89.02
2014-07-31,4.0,1577.7,153.66
2014-08-31,4.16,1579.7,161.94
2014-09-30,4.31,1583.6,178.32
2014-10-31,4.47,1587.2,194.0
2014-11-30,4.4,1585.3,185.54
2014-12-31,4.09,1579.0,158.7
2015-01-31,4.12,1579.3,160.25
2015-02-28,3.98,1577.4,152.58
2015-03-31,3.87,1575.5,144.89
2015-04-30,3.11,1562.9,100.93
2015-05-31,2.61,1553.5,74.19
2015-06-30,2.11,1544.5,53.15
2015-07-31,3.06,1561.8,97.47
2015-08-31,2.98,1560.8,94.52
2015-09-30,2.91,1559.2,89.8
2015-10-31,2.83,1557.6,85.19
2015-11-30,4.41,1585.8,188.03
2015-12-31,4.09,1578.9,158.66
2016-01-31,4.36,1584.4,181.75
2016-02-29,3.55,1570.2,125.33
2016-03-31,3.8,1573.4,137.1
2016-04-30,1.79,1537.2,38.68
2016-05-31,4.12,1579.2,159.79
2016-06-30,4.05,1578.3,156.08
2016-07-31,4.29,1583.2,176.37
2016-08-31,4.53,1588.1,197.99
2016-09-30,1.69,1535.4,35.54
2016-10-31,3.67,1571.8,130.95
2016-11-30,4.31,1583.5,177.95
2016-12-31,4.35,1584.2,181.09
2017-01-31,4.27,1582.8,174.84
2017-02-28,4.49,1587.5,195.31
2017-03-31,1.14,1522.4,16.67
2017-04-30,2.55,1552.6,71.88
2017-05-31,3.16,1563.7,103.38
2017-06-30,4.57,1588.7,201.08
2017-07-31,1.65,1534.6,34.08
2017-08-31,1.59,1533.0,31.63
2017-09-30,1.53,1531.4,29.0
2017-10-31,4.51,1587.8,196.78
2017-11-30,4.59,1589.2,203.01
2017-12-31,4.57,1588.7,201.09
2018-01-31,4.04,1578.2,155.59
2018-02-28,4.34,1584.0,180.15
2018-03-31,3.72,1572.4,133.3
2018-04-30,2.78,1557.0,83.51
2018-05-31,1.85,1538.1,40.24
2018-06-30,2.35,1549.7,64.72
2018-07-31,3.12,1562.9,101.07
2018-08-31,3.88,1575.9,146.56
2018-09-30,4.64,1590.4,208.83
2018-10-31,4.61,1589.6,205.02
2018-11-30,4.22,1581.1,167.58
2018-12-31,4.61,1589.6,204.84
2019-01-31,4.53,1588.0,197.69
2019-02-28,4.49,1587.4,195.2
2019-03-31,3.85,1574.4,140.77
2019-04-30,4.1,1579.1,159.21
2019-05-31,3.3,1566.4,112.14
2019-06-30,2.96,1560.4,93.33
2019-07-31,1.82,1537.7,39.52
2019-08-31,4.79,1594.9,229.88
2019-09-30,4.69,1591.6,214.26
2019-10-31,4.64,1590.4,208.66
2019-11-30,4.45,1586.8,192.25
2019-12-31,4.66,1590.8,210.72
2020-01-31,4.72,1592.4,218.15
2020-02-29,4.19,1580.2,163.9
2020-03-31,4.01,1577.8,154.17
2020-04-30,4.18,1580.0,162.87
2020-05-31,3.67,1571.9,131.23
2020-06-30,3.27,1565.9,110.57
2020-07-31,2.87,1558.4,87.56
2020-08-31,4.05,1578.3,156.16
2020-09-30,4.85,1596.3,236.88
2020-10-31,4.91,1597.6,242.99
2020-11-30,4.71,1592.1,216.82
2020-12-31,4.37,1584.6,182.55
2021-01-31,4.23,1581.6,169.89
2021-02-28,4.35,1584.3,181.39
2021-03-31,3.76,1572.9,135.12
2021-04-30,3.89,1576.1,147.27
2021-05-31,2.87,1558.4,87.62
2021-06-30,3.45,1568.7,119.79
2021-07-31,4.02,1578.0,154.75
2021-08-31,3.48,1569.1,121.19
2021-09-30,4.43,1586.3,190.0
2021-10-31,4.61,1589.7,205.57
2021-11-30,4.39,1585.1,184.67
2021-12-31,4.49,1587.4,195.14
2022-01-31,4.56,1588.7,200.71
2022-02-28,4.72,1592.4,217.99
2022-03-31,4.51,1587.8,196.67
2022-04-30,4.31,1583.6,178.31
2022-05-31,4.12,1579.3,159.96
2022-06-30,4.01,1577.9,154.4
2022-07-31,3.91,1576.5,148.91
2022-08-31,3.39,1568.1,117.75
2022-09-30,2.88,1558.5,87.7
2022-10-31,4.5,1587.7,196.16
2022-11-30,4.14,1579.5,160.91
2022-12-31,4.29,1583.2,176.72
2023-01-31,4.2,1580.5,165.06
2023-02-28,4.01,1577.8,154.13
2023-03-31,3.17,1563.8,103.95
2023-04-30,4.1,1579.0,158.88
2023-05-31,3.52,1569.8,123.65
2023-06-30,3.2,1564.4,105.8
2023-07-31,3.41,1568.2,118.23
2023-08-31,2.35,1549.7,64.69
2023-09-30,4.06,1578.5,156.88
2023-10-31,4.53,1588.0,197.81
2023-11-30,4.52,1587.8,197.01
2023-12-31,4.48,1587.3,194.57
2024-01-31,4.61,1589.7,205.66
2024-02-29,4.36,1584.4,181.75
2024-03-31,3.41,1568.3,118.5
2024-04-30,3.67,1571.9,131.23
2024-05-31,1.8,1537.3,38.87
2024-06-30,2.15,1545.5,55.28
2024-07-31,1.24,1523.8,18.35
2024-08-31,4.48,1587.3,194.63
2024-09-30,4.45,1586.7,192.07
2024-10-31,3.92,1576.6,149.39
2024-11-30,4.04,1578.3,155.9
2024-12-31,3.64,1571.4,129.44
2025-01-31,3.7,1572.2,132.33
