Time,area_km2,elevation_m,changed_storage_mcm
2004-01-31,0.24,735.7,8.84
2004-02-29,0.25,740.8,10.07
2004-03-31,0.2,719.1,5.19
2004-04-30,0.21,722.9,5.96
2004-05-31,0.21,724.4,6.29
2004-06-30,0.22,725.4,6.49
2004-07-31,0.22,726.5,6.74
2004-08-31,0.22,728.0,7.08
2004-09-30,0.22,728.6,7.19
2004-10-31,0.22,729.1,7.32
2004-11-30,0.23,731.9,7.96
2004-12-31,0.23,730.0,7.52
2005-01-31,0.23,730.6,7.65
2005-02-28,0.23,731.5,7.86
2005-03-31,0.23,732.9,8.17
2005-04-30,0.23,734.0,8.43
2005-05-31,0.23,735.0,8.66
2005-06-30,0.24,736.6,9.05
2005-07-31,0.19,715.3,4.46
2005-08-31,0.14,702.9,2.43
2005-09-30,0.24,736.1,8.92
2005-10-31,0.23,729.6,7.41
2005-11-30,0.23,734.3,8.51
2005-12-31,0.18,711.8,3.82
2006-01-31,0.2,719.6,5.29
2006-02-28,0.22,726.2,6.68
2006-03-31,0.23,734.2,8.47
2006-04-30,0.22,728.4,7.15
2006-05-31,0.14,704.1,2.6
2006-06-30,0.14,702.9,2.43
2006-07-31,0.15,704.5,2.65
2006-08-31,0.15,705.5,2.81
2006-09-30,0.1,692.5,1.15
2006-10-31,0.19,715.4,4.47
2006-11-30,0.2,722.1,5.81
2006-12-31,0.16,708.1,3.21
2007-01-31,0.16,710.0,3.51
2007-02-28,0.12,698.6,1.85
2007-03-31,0.11,694.6,1.37
2007-04-30,0.12,697.6,1.72
2007-05-31,0.12,696.1,1.55
2007-06-30,0.2,719.9,5.36
2007-07-31,0.2,721.0,5.58
2007-08-31,0.21,722.3,5.84
2007-09-30,0.21,722.7,5.94
2007-10-31,0.17,711.2,3.71
2007-11-30,0.18,711.5,3.76
2007-12-31,0.18,713.3,4.1
2008-01-31,0.17,711.2,3.71
2008-02-29,0.19,714.4,4.29
2008-03-31,0.16,709.9,3.49
2008-04-30,0.17,711.3,3.73
2008-05-31,0.19,714.4,4.29
2008-06-30,0.11,695.5,1.48
2008-07-31,0.15,706.1,2.89
2008-08-31,0.15,705.8,2.85
2008-09-30,0.14,702.3,2.34
2008-10-31,0.14,703.5,2.51
2008-11-30,0.14,703.1,2.45
2008-12-31,0.14,704.1,2.6
2009-01-31,0.17,710.3,3.57
2009-02-28,0.17,710.4,3.58
2009-03-31,0.18,711.6,3.78
2009-04-30,0.18,714.1,4.23
2009-05-31,0.17,711.3,3.74
2009-06-30,0.16,710.1,3.52
2009-07-31,0.15,706.8,2.99
2009-08-31,0.14,704.2,2.61
2009-09-30,0.16,709.8,3.48
2009-10-31,0.15,704.5,2.65
2009-11-30,0.13,700.1,2.04
2009-12-31,0.17,710.3,3.56
2010-01-31,0.15,706.1,2.9
2010-02-28,0.15,705.4,2.79
2010-03-31,0.07,686.3,0.59
2010-04-30,0.17,710.8,3.65
2010-05-31,0.2,719.5,5.29
2010-06-30,0.12,697.4,1.7
2010-07-31,0.14,700.7,2.11
2010-08-31,0.15,705.2,2.76
2010-09-30,0.13,699.8,2.0
2010-10-31,0.12,696.8,1.63
2010-11-30,0.1,691.2,1.02
2010-12-31,0.12,698.0,1.77
2011-01-31,0.15,705.2,2.75
2011-02-28,0.14,703.1,2.45
2011-03-31,0.15,705.4,2.79
2011-04-30,0.16,710.0,3.51
2011-05-31,0.14,702.9,2.42
2011-06-30,0.12,697.2,1.67
2011-07-31,0.1,690.7,0.96
2011-08-31,0.11,693.5,1.25
2011-09-30,0.14,702.7,2.39
2011-10-31,0.14,700.8,2.13
2011-11-30,0.13,699.1,1.91
2011-12-31,0.12,697.6,1.73
2012-01-31,0.11,693.3,1.23
2012-02-29,0.14,701.6,2.24
2012-03-31,0.16,709.6,3.44
2012-04-30,0.15,706.8,3.0
2012-05-31,0.14,701.5,2.23
2012-06-30,0.1,691.2,1.02
2012-07-31,0.11,693.5,1.25
2012-08-31,0.12,697.1,1.66
2012-09-30,0.13,699.5,1.96
2012-10-31,0.14,701.6,2.24
2012-11-30,0.12,697.3,1.68
2012-12-31,0.13,699.7,1.98
2013-01-31,0.11,693.3,1.23
2013-02-28,0.12,698.0,1.77
2013-03-31,0.12,698.7,1.86
2013-04-30,0.15,705.3,2.77
2013-05-31,0.1,691.9,1.08
2013-06-30,0.14,700.9,2.14
2013-07-31,0.13,700.1,2.03
2013-08-31,0.13,699.6,1.97
2013-09-30,0.13,699.1,1.91
2013-10-31,0.13,699.9,2.01
2013-11-30,0.11,694.6,1.37
2013-12-31,0.1,692.3,1.13
2014-01-31,0.13,699.6,1.98
2014-02-28,0.12,697.6,1.73
2014-03-31,0.14,702.5,2.37
2014-04-30,0.15,705.2,2.75
2014-05-31,0.15,704.4,2.64
2014-06-30,0.14,702.1,2.31
2014-07-31,0.13,700.5,2.09
2014-08-31,0.11,692.6,1.16
2014-09-30,0.13,699.3,1.93
2014-10-31,0.13,699.9,2.01
2014-11-30,0.08,688.5,0.76
2014-12-31,0.08,688.5,0.76
2015-01-31,0.16,709.1,3.36
2015-02-28,0.1,690.6,0.95
2015-03-31,0.13,699.9,2.01
2015-04-30,0.12,697.6,1.73
2015-05-31,0.17,710.4,3.57
2015-06-30,0.15,706.2,2.92
2015-07-31,0.14,701.7,2.25
2015-08-31,0.12,698.8,1.88
2015-09-30,0.12,698.7,1.86
2015-10-31,0.14,701.4,2.22
2015-11-30,0.12,698.5,1.83
2015-12-31,0.14,702.5,2.37
2016-01-31,0.09,690.0,0.9
2016-02-29,0.15,706.7,2.98
2016-03-31,0.18,713.1,4.05
2016-04-30,0.15,706.4,2.94
