Time,area_km2,elevation_m,changed_storage_mcm
2009-01-31,0.21,286.3,1.0
2009-02-28,0.24,288.1,1.4
2009-03-31,0.25,288.8,1.57
2009-04-30,0.2,285.0,0.73
2009-05-31,0.18,284.5,0.65
2009-06-30,0.17,284.3,0.6
2009-07-31,0.18,284.5,0.64
2009-08-31,0.19,284.7,0.67
2009-09-30,0.25,288.9,1.6
2009-10-31,0.3,293.7,2.91
2009-11-30,0.27,292.0,2.42
2009-12-31,0.25,289.4,1.73
2010-01-31,0.17,284.4,0.62
2010-02-28,0.25,289.3,1.71
2010-03-31,0.23,287.7,1.3
2010-04-30,0.2,284.9,0.71
2010-05-31,0.16,283.9,0.54
2010-06-30,0.2,285.0,0.73
2010-07-31,0.24,288.6,1.53
2010-08-31,0.25,288.8,1.57
2010-09-30,0.25,289.7,1.8
2010-10-31,0.25,288.9,1.6
2010-11-30,0.22,286.8,1.11
2010-12-31,0.2,285.0,0.72
2011-01-31,0.18,284.4,0.63
2011-02-28,0.15,283.8,0.52
2011-03-31,0.13,283.1,0.42
2011-04-30,0.16,284.0,0.56
2011-05-31,0.19,284.7,0.67
2011-06-30,0.23,286.9,1.14
2011-07-31,0.17,284.3,0.61
2011-08-31,0.19,284.8,0.69
2011-09-30,0.21,286.2,0.98
2011-10-31,0.12,281.9,0.27
2011-11-30,0.17,284.3,0.6
2011-12-31,0.17,284.4,0.62
2012-01-31,0.18,284.5,0.64
2012-02-29,0.18,284.6,0.66
2012-03-31,0.22,286.4,1.02
2012-04-30,0.25,289.0,1.62
2012-05-31,0.15,283.6,0.49
2012-06-30,0.15,283.6,0.5
2012-07-31,0.15,283.7,0.51
2012-08-31,0.15,283.8,0.52
2012-09-30,0.15,283.8,0.53
2012-10-31,0.24,288.7,1.55
2012-11-30,0.15,283.6,0.49
2012-12-31,0.16,283.9,0.54
2013-01-31,0.17,284.2,0.59
2013-02-28,0.12,281.8,0.26
2013-03-31,0.2,284.9,0.71
2013-04-30,0.24,288.5,1.51
2013-05-31,0.23,286.9,1.14
2013-06-30,0.19,284.8,0.7
2013-07-31,0.23,287.2,1.2
2013-08-31,0.23,287.2,1.19
2013-09-30,0.23,287.1,1.18
2013-10-31,0.18,284.5,0.64
2013-11-30,0.19,284.7,0.67
