Time,area_km2,elevation_m,changed_storage_mcm
1990-01-31,6.18,261.5,18.63
1990-02-28,5.94,261.2,17.0
1990-03-31,5.71,260.9,15.41
1990-04-30,5.51,260.7,14.16
1990-05-31,5.24,260.4,12.5
1990-06-30,4.96,260.1,11.0
1990-07-31,4.69,259.8,9.57
1990-08-31,4.41,259.5,8.24
1990-09-30,4.14,259.2,7.03
1990-10-31,6.23,261.5,19.05
1990-11-30,8.32,264.2,38.58
1990-12-31,10.42,267.5,69.54
1991-01-31,10.02,266.8,62.39
1991-02-28,9.62,266.1,55.91
1991-03-31,9.26,265.6,50.68
1991-04-30,8.91,265.1,45.84
1991-05-31,8.56,264.6,41.37
1991-06-30,8.21,264.1,37.24
1991-07-31,7.86,263.6,33.4
1991-08-31,8.57,264.6,41.45
1991-09-30,9.28,265.6,50.85
1991-10-31,9.99,266.8,61.88
1991-11-30,9.75,266.4,57.99
1991-12-31,9.51,266.0,54.33
1992-01-31,9.28,265.6,50.89
1992-02-29,8.84,265.0,44.85
1992-03-31,8.4,264.3,39.43
1992-04-30,7.02,262.5,25.4
1992-05-31,5.72,261.0,15.47
1992-06-30,4.42,259.5,8.24
1992-07-31,4.79,259.9,10.04
1992-08-31,5.15,260.3,12.05
1992-09-30,5.52,260.7,14.26
1992-10-31,5.89,261.2,16.66
1992-11-30,6.26,261.6,19.27
1992-12-31,6.63,262.0,22.1
1993-01-31,7.0,262.5,25.19
1993-02-28,6.89,262.3,24.25
1993-03-31,6.78,262.2,23.33
1993-04-30,6.67,262.1,22.42
1993-05-31,6.56,261.9,21.5
1993-06-30,5.51,260.7,14.16
1993-07-31,4.46,259.6,8.44
1993-08-31,5.53,260.7,14.28
1993-09-30,6.6,262.0,21.83
1993-10-31,7.67,263.3,31.48
1993-11-30,8.74,264.8,43.63
1993-12-31,7.44,263.0,29.17
1994-01-31,6.99,262.5,25.08
1994-02-28,6.54,261.9,21.38
1994-03-31,6.21,261.5,18.89
1994-04-30,6.33,261.7,19.76
1994-05-31,6.56,261.9,21.49
1994-06-30,6.79,262.2,23.39
1994-07-31,7.02,262.5,25.33
1994-08-31,7.25,262.8,27.4
1994-09-30,7.48,263.1,29.56
1994-10-31,7.71,263.4,31.82
1994-11-30,7.45,263.1,29.36
1994-12-31,7.17,262.7,26.67
1995-01-31,6.88,262.3,24.12
1995-02-28,5.29,260.5,12.84
1995-03-31,6.03,261.3,17.61
1995-04-30,5.63,260.9,14.94
1995-05-31,5.74,261.0,15.59
1995-06-30,5.84,261.1,16.29
1995-07-31,5.94,261.2,17.0
1995-08-31,6.05,261.3,17.7
1995-09-30,8.06,263.9,35.56
1995-10-31,10.07,266.9,63.31
1995-11-30,10.14,267.0,64.59
1995-12-31,9.65,266.2,56.46
1996-01-31,9.33,265.7,51.62
1996-02-29,9.01,265.2,47.13
1996-03-31,8.93,265.1,46.03
1996-04-30,8.3,264.2,38.35
1996-05-31,7.68,263.3,31.61
1996-06-30,7.06,262.6,25.74
1996-07-31,6.44,261.8,20.61
1996-08-31,7.83,263.5,33.12
1996-09-30,9.22,265.5,50.03
1996-10-31,10.61,267.9,73.23
1996-11-30,10.37,267.4,68.68
1996-12-31,10.17,267.1,65.09
1997-01-31,9.35,265.7,51.91
1997-02-28,8.85,265.0,45.03
1997-03-31,9.39,265.8,52.46
1997-04-30,9.05,265.3,47.71
1997-05-31,7.83,263.5,33.08
1997-06-30,7.57,263.2,30.48
1997-07-31,7.31,262.9,28.0
1997-08-31,7.05,262.5,25.67
1997-09-30,6.8,262.2,23.48
