id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group
297,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Nam Cum 4 ,SEAWEA_UNKNOWN,Vietnam,2022,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,54.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,102.57077,22.52271,,
325,Nam Na 1 (Thủy điện Nậm Na 1),SEAWEA_UNKNOWN,Nam Na 1 ,SEAWEA_UNKNOWN,Vietnam,2017,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.26108,22.5956,,
346,Nam Toong,Nam Toong,Nam Toong ,SEAWEA_UNKNOWN,Vietnam,2016,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.9442,22.22246,,
366,SEAWEA_UNKNOWN,Nho Que 1,Nho Que 1 ,SEAWEA_UNKNOWN,Vietnam,2018,Operational,53.6,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,32.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,105.43083,23.23028,,
367,SEAWEA_UNKNOWN,Nho Que 2,Nho Que 2 ,SEAWEA_UNKNOWN,Vietnam,2016,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,48.0,Hydropower,SEAWEA_UNKNOWN,105.48504,23.17802,,
415,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Song Bac ,SEAWEA_UNKNOWN,Vietnam,2014,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,42.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.72285,22.45247,,
433,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Song Lo 6 ,SEAWEA_UNKNOWN,Vietnam,2020,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,48.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.91798,22.29479,,
454,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Su Pan 1 ,SEAWEA_UNKNOWN,Vietnam,2019,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.914327,22.290895,,
494,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thai An ,SEAWEA_UNKNOWN,Vietnam,2010,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,82.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,105.065863,22.999275,,
6510,SEAWEA_UNKNOWN,Tukahe,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2007,Operational,59.2,300.0,12.0,-999.9,-999.9,78.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,165.0,Hydropower,SEAWEA_UNKNOWN,102.284836,22.595526,,
6522,SEAWEA_UNKNOWN,Ma Lu Tang 2,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2010,Operational,154.0,493.4,-999.9,-999.9,-999.9,545.65,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,240.0,Hydropower,SEAWEA_UNKNOWN,104.790704,22.982171,,
6546,SEAWEA_UNKNOWN,Chang Tian,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2011,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,97.6,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,84.0,Hydropower,SEAWEA_UNKNOWN,101.517878,23.293678,,
6609,SEAWEA_UNKNOWN,Lu Fang,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1979,Operational,67.0,-999.9,-999.9,-999.9,-999.9,43.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30.0,Hydropower,SEAWEA_UNKNOWN,101.960025,24.689962,,
2144,SEAWEA_UNKNOWN,Amojiang Sanjiangkou,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1989,Operational,-99.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,-999.9,99.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,101.44,23.07,,
2199,SEAWEA_UNKNOWN,Yunpeng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2016,Operational,97.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,-999.9,210.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,101.92,23.942,,
353,Nam Phang,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Vietnam,2012,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,36.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.1905,22.42083,,
22,Kabaung,Kyee On Kyee Wa,SEAWEA_UNKNOWN,Storage,Myanmar,2007,Operational,61.0,-99.0,49.55700613,23.33107663,42.1234552105,861.1323236,269.3108716,-99.0,19.8,-999.9,-999.9,112.0976247,-99.0,-999.9,30.0,Multiple purpose,SEAWEA_UNKNOWN,96.217958,18.897358,54.0,
23,Phyu Creek,Phyu Creek,Phyu Creek,Storage,Myanmar,2017,Operational,75.0,-99.0,51.31592578,25.01740295,43.618536913,787.9716801,268.8574101,780.0,-99.0,-999.9,-999.9,142.8184958,-999.9,-999.9,40.0,Multiple purpose,SEAWEA_UNKNOWN,96.351935,18.50659,55.0,
7075,Lower Paunglaung,Lower Paunglaung,Paunglaung,Storage,Myanmar,2005,Operational,131.0,945.0,16.60617974,12.46979425,13.9,708.1552695,455.1986962,690.0,49.8,-999.9,-999.9,183.2138063,103.6,-999.9,280.0,Hydropower,SEAWEA_UNKNOWN,96.336506,19.786613,82.0,
7076,Upper Paunglaung,Upper Paunglaung,SEAWEA_UNKNOWN,Storage,Myanmar,2015,Operational,103.0,537.0,78.71656032,55.67828043,66.909076272,2107.817414,1140.836568,1300.0,26.2,-999.9,-999.9,366.9715531,-99.0,-999.9,140.0,Hydropower,SEAWEA_UNKNOWN,96.594087,19.754995,172.0,
7077,Shwegyin,Shwegyin,Shwegyin,Storage,Myanmar,2011,Operational,56.0,-99.0,87.80326829,66.84078763,79.62,1867.430928,1163.302612,1587.3162888,26.2,-999.9,-999.9,59.75639174,41.4,-999.9,75.2,Hydropower,SEAWEA_UNKNOWN,96.935155,17.972725,147.0,
39347,Thaukyegat 2 (Thauk Ye Khat 2),SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Storage,Myanmar,2012,Operational,94.0,-99.0,-99.0,-99.0,13.8,444.0,-99.0,-99.0,18.4,-999.9,-999.9,-999.9,-999.9,-999.9,120.0,Hydropower,SEAWEA_UNKNOWN,96.620234,18.914352,,
39383,Kun Chaung,Kun Chaung,Kun,Storage,Myanmar,2011,Operational,73.0,-99.0,78.37733659,49.19102481,66.6207361015,1289.803463,589.6377916,-99.0,20.2,-999.9,-999.9,163.0104122,106.0,-999.9,60.0,Multiple purpose,SEAWEA_UNKNOWN,96.363091,18.419623,56.0,
